,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21973,600013,Rick Barry,GOS,Golden State Warriors,0027300693,1974-03-26,GOS vs. POR,W,0,30,,,,,,4,5,0.8,,,,,,,,,64,,0
1,21973,76272,Fred Brown,SEA,Seattle SuperSonics,0027300679,1974-03-23,SEA @ GOS,W,0,24,,,,,,10,13,0.769,,,,,,,,,58,,0
2,21973,77498,Bob McAdoo,BUF,Buffalo Braves,0027300544,1974-02-22,BUF vs. BOS,L,0,20,,,,,,12,14,0.857,,,,,,,,,52,,0
3,21973,600013,Rick Barry,GOS,Golden State Warriors,0027300554,1974-02-23,GOS vs. PHL,W,0,22,,,,,,7,8,0.875,,,,,,,,,51,,0
4,21973,600013,Rick Barry,GOS,Golden State Warriors,0027300234,1973-12-08,GOS vs. LAL,W,0,21,,,,,,8,8,1.0,,,,,,,,,50,,0
5,21973,78045,Cazzie Russell,GOS,Golden State Warriors,0027300246,1973-12-11,GOS vs. HOU,W,0,22,,,,,,5,6,0.833,,,,,,,,,49,,0
6,21973,77498,Bob McAdoo,BUF,Buffalo Braves,0027300702,1973-12-09,BUF @ BOS,L,0,21,,,,,,7,9,0.778,,,,,,,,,49,,0
7,21973,76832,Gail Goodrich,LAL,Los Angeles Lakers,0027300075,1973-10-28,LAL vs. POR,W,0,18,,,,,,13,13,1.0,,,,,,,,,49,,0
8,21973,77554,Jim McMillian,BUF,Buffalo Braves,0027300091,1973-11-03,BUF vs. GOS,L,0,20,,,,,,8,10,0.8,,,,,,,,,48,,0
9,21973,76256,John Brisker,SEA,Seattle SuperSonics,0027300177,1973-11-25,SEA @ KCK,W,0,16,,,,,,15,18,0.833,,,,,,,,,47,,0
10,21973,78045,Cazzie Russell,GOS,Golden State Warriors,0027300684,1974-03-24,GOS @ PHX,L,0,21,,,,,,4,4,1.0,,,,,,,,,46,,0
11,21973,78045,Cazzie Russell,GOS,Golden State Warriors,0027300122,1973-11-10,GOS vs. BUF,W,0,20,,,,,,6,7,0.857,,,,,,,,,46,,0
12,21973,600005,Bob Lanier,DET,Detroit Pistons,0027300515,1974-02-15,DET @ BUF,L,0,19,,,,,,7,7,1.0,,,,,,,,,45,,0
13,21973,76003,Kareem Abdul-Jabbar,MIL,Milwaukee Bucks,0027300591,1974-03-03,MIL vs. HOU,W,0,19,,,,,,6,9,0.667,,,,,,,,,44,,0
14,21973,77498,Bob McAdoo,BUF,Buffalo Braves,0027300563,1974-02-26,BUF vs. LAL,L,0,18,,,,,,8,10,0.8,,,,,,,,,44,,0
15,21973,77074,Lou Hudson,ATL,Atlanta Hawks,0027300522,1974-02-16,ATL @ PHX,L,0,20,,,,,,4,4,1.0,,,,,,,,,44,,0
16,21973,76832,Gail Goodrich,LAL,Los Angeles Lakers,0027300471,1974-02-05,LAL @ HOU,L,0,18,,,,,,8,10,0.8,,,,,,,,6.0,44,,0
17,21973,600013,Rick Barry,GOS,Golden State Warriors,0027300391,1974-01-17,GOS vs. PHX,W,0,15,,,,,,14,14,1.0,,,,,,,,,44,,0
