,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT
0,2062,A.J. Guyton,1610612741,CHI,24.0,73.0,180,-3.8,0.221,0.477
1,243,Aaron McKie,1610612755,PHI,29.0,77.0,209,3.4,0.199,0.54
2,1425,Aaron Williams,1610612751,NJN,30.0,81.0,240,4.8,0.179,0.568
3,1502,Adonal Foyle,1610612744,GSW,27.0,82.0,265,-7.2,0.145,0.445
4,1559,Adrian Griffin,1610612742,DAL,27.0,77.0,215,6.3,0.137,0.545
5,1733,Al Harrington,1610612754,IND,22.0,81.0,250,-1.3,0.218,0.526
6,673,Alan Henderson,1610612737,ATL,29.0,81.0,240,1.7,0.17,0.527
7,275,Allan Houston,1610612752,NYK,31.0,78.0,200,-6.3,0.258,0.54
8,947,Allen Iverson,1610612755,PHI,27.0,72.0,165,5.1,0.371,0.489
9,297,Alonzo Mourning,1610612748,MIA,32.0,82.0,261,1.1,0.243,0.558
10,2228,Alton Ford,1610612756,PHX,21.0,81.0,275,-8.7,0.175,0.573
11,2264,Alvin Jones,1610612755,PHI,23.0,83.0,265,-3.8,0.144,0.451
12,1541,Alvin Williams,1610612761,TOR,27.0,77.0,185,-0.9,0.183,0.47
13,1043,Amal McCaskill,1610612759,SAS,28.0,83.0,245,-10.3,0.223,0.43
14,1889,Andre Miller,1610612739,CLE,26.0,74.0,200,-1.1,0.227,0.538
15,1905,Andrei Kirilenko,1610612762,UTA,21.0,81.0,210,7.6,0.188,0.553
16,692,Andrew DeClercq,1610612753,ORL,29.0,82.0,255,-0.3,0.143,0.474
17,358,Anfernee Hardaway,1610612756,PHX,30.0,79.0,215,-1.9,0.218,0.472
18,1738,Ansu Sesay,1610612760,SEA,25.0,81.0,225,-7.5,0.186,0.549
19,1712,Antawn Jamison,1610612744,GSW,26.0,81.0,223,-6.8,0.237,0.516
20,1853,Anthony Carter,1610612748,MIA,27.0,74.0,195,-8.8,0.159,0.359
21,1533,Anthony Johnson,1610612751,NJN,27.0,75.0,190,4.2,0.159,0.465
22,193,Anthony Mason,1610612749,MIL,35.0,80.0,255,0.5,0.127,0.544
23,324,Anthony Peeler,1610612750,MIN,32.0,76.0,208,-0.1,0.173,0.519
24,952,Antoine Walker,1610612738,BOS,25.0,81.0,245,3.7,0.277,0.49
25,1498,Antonio Daniels,1610612759,SAS,27.0,76.0,205,7.0,0.166,0.534
26,213,Antonio Davis,1610612761,TOR,33.0,81.0,230,-0.3,0.196,0.497
27,176,Antonio Harvey,1610612760,SEA,31.0,, ,-12.6,0.149,0.349
28,686,Antonio McDyess,1610612743,DEN,27.0,81.0,245,-15.9,0.209,0.631
29,2238,Antonis Fotsis,1610612763,MEM,21.0,82.0,219,-6.1,0.19,0.479
30,1609,Art Long,1610612760,SEA,29.0,81.0,253,-0.1,0.163,0.506
31,1506,Austin Croshere,1610612754,IND,27.0,82.0,242,0.3,0.198,0.518
32,422,Avery Johnson,1610612742,DAL,37.0,71.0,180,-7.1,0.197,0.531
33,1884,Baron Davis,1610612766,CHH,23.0,75.0,223,2.4,0.237,0.498
34,1112,Ben Wallace,1610612765,DET,27.0,81.0,240,3.7,0.106,0.522
35,902,Bimbo Coles,1610612739,CLE,34.0,74.0,182,-14.8,0.132,0.459
36,448,Bo Outlaw,1610612756,PHX,31.0,80.0,210,2.1,0.104,0.547
37,682,Bob Sura,1610612744,GSW,29.0,77.0,200,-4.8,0.209,0.53
38,1517,Bobby Jackson,1610612758,SAC,29.0,73.0,185,8.6,0.232,0.537
39,2250,Bobby Simmons,1610612764,WAS,22.0,78.0,235,0.5,0.166,0.518
40,1719,Bonzi Wells,1610612757,POR,25.0,77.0,213,4.2,0.263,0.538
41,1802,Brad Miller,1610612754,IND,26.0,84.0,261,-5.3,0.204,0.572
42,2220,Brandon Armstrong,1610612751,NJN,22.0,77.0,188,-8.9,0.226,0.358
43,2217,Brendan Haywood,1610612764,WAS,22.0,84.0,266,-1.3,0.126,0.54
44,699,Brent Barry,1610612760,SEA,30.0,78.0,203,3.3,0.161,0.652
45,85,Brent Price,1610612758,SAC,33.0,73.0,185,-19.4,0.187,0.474
46,1510,Brevin Knight,1610612763,MEM,26.0,70.0,170,-6.6,0.198,0.482
47,2073,Brian Cardinal,1610612765,DET,25.0,80.0,245,24.5,0.154,0.612
48,258,Brian Grant,1610612748,MIA,30.0,81.0,254,-1.4,0.168,0.508
49,2243,Brian Scalabrine,1610612751,NJN,24.0,81.0,240,2.4,0.153,0.408
50,216,Brian Shaw,1610612747,LAL,36.0,78.0,200,8.0,0.153,0.458
51,1730,Brian Skinner,1610612739,CLE,26.0,81.0,265,-1.4,0.1,0.569
52,1477,Bruce Bowen,1610612759,SAS,31.0,79.0,200,11.3,0.141,0.468
53,1743,Bruno Sundov,1610612754,IND,22.0,86.0,246,-0.4,0.221,0.391
54,179,Bryant Stith,1610612739,CLE,31.0,77.0,210,-8.7,0.168,0.493
55,1724,Bryce Drew,1610612766,CHH,27.0,75.0,184,2.7,0.139,0.539
56,935,Bryon Russell,1610612762,UTA,31.0,79.0,225,3.9,0.171,0.493
57,1898,Cal Bowdler,1610612737,ATL,25.0,82.0,253,-1.1,0.159,0.416
58,384,Calbert Cheaney,1610612743,DEN,30.0,79.0,217,-10.2,0.158,0.499
59,1916,Calvin Booth,1610612760,SEA,26.0,83.0,231,-8.3,0.178,0.502
60,2306,Carlos Arroyo,1610612743,DEN,22.0,74.0,202,-6.3,0.168,0.467
61,435,Carlos Rogers,1610612754,IND,31.0,83.0,232,-5.9,0.16,0.574
62,1538,Cedric Henderson,1610612744,GSW,27.0,79.0,225,12.9,0.242,0.528
63,891,Charles Oakley,1610612741,CHI,38.0,81.0,245,-12.2,0.122,0.392
64,1520,Charles Smith,1610612759,SAS,26.0,76.0,194,-0.2,0.206,0.483
65,2294,Charlie Bell,1610612742,DAL,23.0,75.0,200,-20.7,0.188,0.337
66,369,Charlie Ward,1610612752,NYK,31.0,74.0,185,-0.9,0.18,0.496
67,1497,Chauncey Billups,1610612750,MIN,25.0,75.0,202,3.6,0.207,0.555
68,685,Cherokee Parks,1610612759,SAS,29.0,83.0,240,-11.2,0.188,0.364
69,2365,Chris Andersen,1610612743,DEN,23.0,82.0,230,5.4,0.164,0.417
70,164,Chris Childs,1610612761,TOR,34.0,75.0,195,-0.7,0.133,0.435
71,1544,Chris Crawford,1610612737,ATL,27.0,81.0,235,-12.4,0.212,0.514
72,201,Chris Dudley,1610612757,POR,37.0,83.0,260,2.5,0.098,0.424
73,423,Chris Gatling,1610612748,MIA,34.0,, ,-4.1,0.236,0.501
74,2036,Chris Mihm,1610612739,CLE,22.0,84.0,265,-7.7,0.196,0.47
75,168,Chris Mills,1610612744,GSW,32.0,79.0,220,-6.7,0.185,0.516
76,185,Chris Webber,1610612758,SAC,29.0,82.0,245,9.4,0.29,0.54
77,43,Chris Whitney,1610612764,WAS,30.0,72.0,175,-2.2,0.172,0.568
78,363,Christian Laettner,1610612764,WAS,32.0,83.0,245,-5.1,0.155,0.511
79,1088,Chucky Atkins,1610612765,DET,27.0,71.0,160,1.4,0.199,0.568
80,359,Chucky Brown,1610612758,SAC,34.0,80.0,220,-9.1,0.147,0.377
81,221,Clar. Weatherspoon,1610612752,NYK,31.0,79.0,270,-5.9,0.152,0.478
82,361,Clifford Robinson,1610612765,DET,35.0,82.0,225,2.9,0.217,0.503
83,1894,Corey Maggette,1610612746,LAC,22.0,78.0,228,-3.1,0.211,0.56
84,916,Corie Blount,1610612755,PHI,33.0,82.0,242,-3.7,0.104,0.478
85,722,Corliss Williamson,1610612765,DET,28.0,79.0,245,5.8,0.295,0.567
86,2042,Courtney Alexander,1610612764,WAS,25.0,78.0,205,-6.4,0.204,0.521
87,1749,Cuttino Mobley,1610612745,HOU,26.0,76.0,210,-3.9,0.251,0.537
88,905,Dale Davis,1610612757,POR,33.0,83.0,252,5.1,0.138,0.551
89,2053,Dalibor Bagaric,1610612741,CHI,21.0,85.0,270,-11.9,0.188,0.443
90,1800,Damon Jones,1610612765,DET,25.0,75.0,185,7.6,0.162,0.548
91,757,Damon Stoudamire,1610612757,POR,28.0,70.0,171,3.5,0.189,0.506
92,2245,Damone Brown,1610612755,PHI,23.0,80.0,202,-10.1,0.229,0.469
93,2061,Dan Langhi,1610612745,HOU,24.0,83.0,220,-21.4,0.146,0.412
94,105,Dan Majerle,1610612756,PHX,36.0,78.0,222,1.9,0.129,0.49
95,344,Dana Barros,1610612765,DET,35.0,71.0,165,0.8,0.192,0.473
96,2091,Daniel Santiago,1610612756,PHX,26.0,85.0,256,-21.1,0.185,0.5
97,198,Danny Ferry,1610612759,SAS,35.0,82.0,235,9.5,0.127,0.594
98,1504,Danny Fortson,1610612744,GSW,26.0,80.0,260,-4.8,0.189,0.504
99,330,Danny Manning,1610612742,DAL,36.0,82.0,234,-2.1,0.156,0.505
100,2032,Darius Miles,1610612746,LAC,20.0,81.0,210,-0.1,0.185,0.516
101,353,Darrell Armstrong,1610612753,ORL,34.0,73.0,180,3.2,0.178,0.553
102,239,Darrick Martin,1610612742,DAL,31.0,71.0,170,-54.6,0.235,0.046
103,1032,Darvin Ham,1610612749,MIL,28.0,79.0,230,1.3,0.134,0.571
104,764,David Robinson,1610612759,SAS,36.0,85.0,250,9.9,0.193,0.562
105,133,David Wesley,1610612766,CHH,31.0,73.0,203,-1.0,0.204,0.479
106,2205,DeSagana Diop,1610612739,CLE,20.0,84.0,300,-1.4,0.182,0.401
107,2052,DeShawn Stevenson,1610612762,UTA,21.0,77.0,210,-5.6,0.184,0.412
108,1051,Dean Garrett,1610612744,GSW,35.0,83.0,250,0.0,0.153,0.32
109,2352,Dean Oliver,1610612744,GSW,23.0,71.0,175,-16.8,0.185,0.42
110,244,Dee Brown,1610612753,ORL,33.0,, ,-4.4,0.163,0.175
111,209,Dell Curry,1610612761,TOR,38.0,77.0,205,-0.6,0.209,0.495
112,2035,DerMarr Johnson,1610612737,ATL,22.0,81.0,201,-1.9,0.179,0.513
113,1507,Derek Anderson,1610612757,POR,27.0,77.0,195,5.0,0.195,0.537
114,965,Derek Fisher,1610612747,LAL,27.0,73.0,200,9.4,0.175,0.55
115,934,Derrick Coleman,1610612755,PHI,35.0,82.0,270,1.8,0.212,0.524
116,1760,Derrick Dial,1610612761,TOR,26.0,76.0,184,4.2,0.226,0.387
117,365,Derrick McKey,1610612755,PHI,35.0,82.0,241,0.6,0.091,0.464
118,2046,Desmond Mason,1610612760,SEA,24.0,77.0,222,5.4,0.188,0.533
119,1904,Devean George,1610612747,LAL,24.0,80.0,220,12.2,0.163,0.502
120,54,Dickey Simpkins,1610612737,ATL,30.0,, ,-16.7,0.0,0.0
121,87,Dikembe Mutombo,1610612755,PHI,36.0,86.0,265,4.5,0.153,0.574
122,1901,Dion Glover,1610612737,ATL,23.0,77.0,228,-9.9,0.225,0.491
123,1717,Dirk Nowitzki,1610612742,DAL,24.0,84.0,245,6.6,0.254,0.599
124,690,Don Reid,1610612753,ORL,28.0,80.0,250,-3.4,0.167,0.509
125,2051,Donnell Harvey,1610612743,DEN,21.0,80.0,220,-0.9,0.154,0.526
126,681,Donny Marshall,1610612751,NJN,29.0,79.0,230,-5.0,0.153,0.406
127,923,Donyell Marshall,1610612762,UTA,29.0,81.0,230,-5.7,0.226,0.565
128,57,Doug Christie,1610612758,SAC,32.0,78.0,205,8.2,0.157,0.578
129,77,Doug Overton,1610612746,LAC,32.0,75.0,190,-1.0,0.207,0.414
130,1863,Earl Boykins,1610612746,LAC,26.0,65.0,133,-0.5,0.202,0.464
131,2248,Earl Watson,1610612760,SEA,23.0,73.0,190,3.8,0.139,0.507
132,2109,Eddie Gill,1610612763,MEM,23.0,72.0,190,-20.5,0.179,0.531
133,2204,Eddie Griffin,1610612745,HOU,20.0,82.0,220,-5.2,0.183,0.456
134,2067,Eddie House,1610612748,MIA,24.0,73.0,180,-3.3,0.239,0.471
135,224,Eddie Jones,1610612748,MIA,30.0,78.0,200,1.0,0.227,0.546
136,1944,Eddie Robinson,1610612741,CHI,26.0,81.0,205,-11.7,0.212,0.489
137,2201,Eddy Curry,1610612741,CHI,19.0,83.0,285,-11.1,0.207,0.54
138,2059,Eduardo Najera,1610612742,DAL,25.0,80.0,234,12.1,0.132,0.548
139,922,Elden Campbell,1610612766,CHH,33.0,84.0,279,0.5,0.235,0.558
140,695,Eldridge Recasner,1610612746,LAC,34.0,, ,-0.3,0.106,0.388
141,386,Elliot Perry,1610612763,MEM,33.0,, ,-42.0,0.181,0.506
142,1882,Elton Brand,1610612746,LAC,23.0,80.0,265,-0.2,0.212,0.586
143,1023,Emanual Davis,1610612737,ATL,33.0,77.0,195,-8.4,0.151,0.449
144,376,Eric Montross,1610612761,TOR,30.0,84.0,270,-9.1,0.121,0.398
145,15,Eric Piatkowski,1610612746,LAC,31.0,78.0,215,-2.4,0.152,0.601
146,727,Eric Snow,1610612755,PHI,29.0,75.0,204,5.1,0.178,0.51
147,677,Eric Williams,1610612738,BOS,29.0,80.0,220,5.4,0.149,0.49
148,2057,Erick Barkley,1610612757,POR,24.0,73.0,177,1.2,0.175,0.401
149,956,Erick Dampier,1610612744,GSW,26.0,83.0,265,-6.3,0.178,0.484
150,1065,Erick Strickland,1610612738,BOS,28.0,75.0,218,-1.1,0.181,0.545
151,2081,Ernest Brown,1610612748,MIA,23.0,84.0,244,-62.2,0.229,0.193
152,911,Ervin Johnson,1610612749,MIL,34.0,83.0,255,1.7,0.079,0.468
153,2041,Etan Thomas,1610612764,WAS,24.0,82.0,260,-0.1,0.154,0.553
154,1915,Evan Eschmeyer,1610612742,DAL,27.0,83.0,255,3.4,0.12,0.48
155,1732,Felipe Lopez,1610612750,MIN,27.0,77.0,195,-2.5,0.172,0.469
156,280,Felton Spencer,1610612752,NYK,34.0,84.0,290,-4.6,0.098,0.358
157,697,Fred Hoiberg,1610612741,CHI,29.0,77.0,210,-7.8,0.121,0.519
158,56,Gary Payton,1610612760,SEA,33.0,76.0,180,3.2,0.271,0.526
