,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,A.J. Price,IND,24.0,95.35,0.075
1,Aaron Brooks,PHX,26.0,96.73,0.078
2,Aaron Gray,NOH,26.0,89.75,0.065
3,Acie Law,GSW,26.0,95.98,0.07
4,Al Harrington,DEN,31.0,98.85,0.078
5,Al Horford,ATL,25.0,90.93,0.15
6,Al Jefferson,UTA,26.0,93.55,0.134
7,Al Thornton,GSW,27.0,95.55,0.077
8,Al-Farouq Aminu,LAC,20.0,95.47,0.07
9,Alexis Ajinca,TOR,23.0,95.58,0.067
10,Alonzo Gee,CLE,24.0,94.67,0.069
11,Amar'e Stoudemire,NYK,28.0,97.92,0.137
12,Amir Johnson,TOR,24.0,95.4,0.097
13,Anderson Varejao,CLE,28.0,94.92,0.107
14,Andray Blatche,WAS,24.0,96.11,0.112
15,Andre Iguodala,PHI,27.0,94.06,0.126
16,Andre Miller,POR,35.0,89.18,0.126
17,Andrea Bargnani,TOR,25.0,95.91,0.1
18,Andrei Kirilenko,UTA,30.0,94.12,0.107
19,Andres Nocioni,PHI,31.0,95.06,0.073
20,Andrew Bogut,MIL,26.0,91.2,0.126
21,Andrew Bynum,LAL,23.0,91.53,0.144
22,Andris Biedrins,GSW,25.0,97.5,0.07
23,Andy Rautins,NYK,24.0,94.84,0.015
24,Antawn Jamison,CLE,35.0,96.83,0.107
25,Anthony Carter,NYK,36.0,97.24,0.073
26,Anthony Morrow,NJN,25.0,92.34,0.077
27,Anthony Parker,CLE,36.0,95.28,0.076
28,Anthony Randolph,MIN,21.0,99.41,0.11
29,Anthony Tolliver,MIN,26.0,98.0,0.091
30,Antoine Wright,SAC,27.0,91.32,-0.072
31,Antonio Daniels,PHI,36.0,86.57,0.082
32,Antonio McDyess,SAS,36.0,93.85,0.092
33,Armon Johnson,POR,22.0,96.07,0.077
34,Arron Afflalo,DEN,25.0,97.2,0.087
35,Austin Daye,DET,23.0,92.89,0.078
36,Avery Bradley,BOS,20.0,96.21,0.005
37,Baron Davis,CLE,32.0,94.78,0.116
38,Ben Gordon,DET,28.0,92.84,0.075
39,Ben Uzoh,NJN,23.0,90.93,0.097
40,Ben Wallace,DET,36.0,89.35,0.083
41,Beno Udrih,SAC,28.0,97.85,0.114
42,Blake Griffin,LAC,22.0,95.53,0.16
43,Bobby Simmons,SAS,31.0,91.68,-0.058
44,Boris Diaw,CHA,29.0,92.49,0.1
45,Brad Miller,HOU,35.0,96.28,0.119
46,Brandan Wright,NJN,23.0,96.12,0.108
47,Brandon Bass,ORL,26.0,92.51,0.115
48,Brandon Jennings,MIL,21.0,93.1,0.113
49,Brandon Roy,POR,26.0,89.54,0.095
50,Brandon Rush,IND,25.0,96.85,0.074
51,Brendan Haywood,DAL,31.0,92.62,0.067
52,Brian Cardinal,DAL,34.0,91.97,0.054
53,Brian Cook,LAC,30.0,94.63,0.077
54,Brian Scalabrine,CHI,33.0,99.55,0.022
55,Brian Skinner,MIL,35.0,107.86,0.0
56,Brook Lopez,NJN,23.0,92.15,0.114
57,Byron Mullens,OKC,22.0,95.57,0.018
58,CJ Miles,UTA,24.0,93.63,0.092
59,CJ Watson,CHI,27.0,91.73,0.104
60,Carl Landry,NOH,27.0,94.04,0.085
61,Carlos Arroyo,BOS,31.0,92.66,0.066
62,Carlos Boozer,CHI,29.0,92.81,0.142
63,Carlos Delfino,MIL,28.0,92.02,0.1
64,Carmelo Anthony,NYK,27.0,97.81,0.143
65,Caron Butler,DAL,31.0,93.2,0.093
66,Cartier Martin,WAS,26.0,96.38,0.069
67,Channing Frye,PHX,28.0,96.64,0.085
68,Charles Hayes,HOU,28.0,96.31,0.106
69,Charlie Bell,GSW,32.0,94.28,0.029
70,Charlie Villanueva,DET,26.0,92.52,0.099
71,Chase Budinger,HOU,23.0,96.75,0.099
72,Chauncey Billups,NYK,34.0,97.52,0.122
73,Chris Andersen,DEN,32.0,99.04,0.123
74,Chris Bosh,MIA,27.0,93.49,0.139
75,Chris Douglas-Roberts,MIL,24.0,92.73,0.081
76,Chris Duhon,ORL,28.0,91.78,0.056
77,Chris Johnson,POR,25.0,95.44,0.05
78,Chris Kaman,LAC,29.0,96.61,0.122
79,Chris Paul,NOH,26.0,91.26,0.169
80,Chris Quinn,SAS,27.0,91.14,0.051
81,Chris Wilcox,DET,28.0,92.0,0.1
82,Christian Eyenga,CLE,22.0,96.23,0.055
83,Cole Aldrich,OKC,22.0,94.52,0.026
84,Corey Brewer,DAL,25.0,99.58,0.058
85,Corey Maggette,MIL,31.0,93.19,0.11
86,Courtney Lee,HOU,25.0,96.04,0.084
87,Craig Brackins,PHI,23.0,87.47,-0.018
88,Craig Smith,LAC,27.0,94.75,0.101
89,D.J. Augustin,CHA,23.0,92.81,0.111
90,DJ Mbenga,NOH,30.0,90.78,0.055
91,DJ White,CHA,24.0,90.15,0.112
92,DaJuan Summers,DET,23.0,93.37,0.007
93,Daequan Cook,OKC,24.0,94.56,0.085
94,Dahntay Jones,IND,30.0,95.33,0.098
95,Damien Wilkins,ATL,31.0,92.91,0.07
96,Damion James,NJN,23.0,94.01,0.077
97,Dan Gadzuric,NJN,33.0,94.84,0.031
98,Daniel Gibson,CLE,25.0,95.54,0.088
99,Danilo Gallinari,DEN,22.0,98.33,0.098
100,Danny Granger,IND,28.0,97.47,0.118
101,Danny Green,SAS,24.0,92.03,0.103
102,Dante Cunningham,CHA,24.0,90.54,0.064
103,Darius Songaila,PHI,33.0,95.62,-0.011
104,Darko Milicic,MIN,26.0,99.07,0.063
105,Darnell Jackson,SAC,25.0,101.08,0.064
106,Darrell Arthur,MEM,23.0,95.01,0.099
107,Darren Collison,IND,23.0,98.23,0.112
108,David Andersen,NOH,31.0,93.22,0.08
109,David Lee,GSW,28.0,97.95,0.119
110,David West,NOH,30.0,90.55,0.138
111,DeAndre Jordan,LAC,22.0,94.79,0.087
112,DeJuan Blair,SAS,22.0,95.14,0.104
113,DeMar DeRozan,TOR,21.0,95.26,0.087
114,DeMarcus Cousins,SAC,20.0,97.18,0.099
115,DeMarre Carroll,HOU,24.0,99.2,0.057
