,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,Aaron McKie,PHI,31.0,89.84,0.106
1,Aaron Williams,NJN,32.0,91.67,0.089
2,Adonal Foyle,GSW,29.0,90.84,0.083
3,Adrian Griffin,HOU,29.0,92.25,0.028
4,Al Harrington,IND,24.0,89.05,0.105
5,Alan Henderson,ATL,31.0,89.49,0.13
6,Alex Garcia,SAS,24.0,92.61,-0.133
7,Allan Houston,NYK,33.0,92.4,0.09
8,Allen Iverson,PHI,29.0,93.18,0.127
9,Alonzo Mourning,NJN,34.0,91.42,0.088
10,Alton Ford,HOU,23.0,89.49,0.08
11,Alvin Williams,TOR,29.0,89.29,0.085
12,Amal McCaskill,PHI,30.0,88.75,0.04
13,Amar'e Stoudemire,PHX,21.0,95.03,0.123
14,Andre Miller,DEN,28.0,96.19,0.127
15,Andrei Kirilenko,UTA,23.0,89.63,0.163
16,Andrew DeClercq,ORL,31.0,92.65,0.054
17,Anfernee Hardaway,NYK,32.0,93.5,0.083
18,Ansu Sesay,SEA,27.0,93.85,0.07
19,Antawn Jamison,DAL,28.0,95.23,0.12
20,Anthony Carter,SAS,29.0,96.55,0.006
21,Anthony Goldwire,NJN,32.0,89.4,0.071
22,Anthony Johnson,IND,29.0,88.13,0.08
23,Anthony Peeler,SAC,34.0,94.54,0.085
24,Antoine Walker,DAL,27.0,96.28,0.099
25,Antonio Daniels,SEA,29.0,92.04,0.14
26,Antonio Davis,CHI,35.0,92.26,0.094
27,Antonio McDyess,PHX,29.0,93.1,0.092
28,Austin Croshere,IND,29.0,88.17,0.117
29,Avery Johnson,GSW,39.0,91.03,0.081
30,Baron Davis,NOH,25.0,92.12,0.136
31,Ben Handlogten,UTA,30.0,88.56,0.109
32,Ben Wallace,DET,29.0,90.66,0.133
33,Bimbo Coles,MIA,36.0,87.09,-0.013
34,Bo Outlaw,MEM,33.0,91.83,0.096
35,Bob Sura,ATL,31.0,92.12,0.117
36,Bobby Jackson,SAC,31.0,93.89,0.128
37,Bobby Simmons,LAC,24.0,93.23,0.074
38,Bonzi Wells,MEM,27.0,92.52,0.08
39,Boris Diaw,ATL,22.0,93.41,0.063
40,Bostjan Nachbar,HOU,23.0,89.96,0.049
41,Brad Miller,SAC,28.0,95.54,0.132
42,Brandon Armstrong,NJN,24.0,88.83,0.024
43,Brandon Hunter,BOS,23.0,96.83,0.083
44,Brendan Haywood,WAS,24.0,93.15,0.098
45,Brent Barry,SEA,32.0,93.99,0.124
46,Brevin Knight,MIL,28.0,93.64,0.105
47,Brian Cardinal,GSW,27.0,91.57,0.121
48,Brian Cook,LAL,23.0,95.2,0.089
49,Brian Grant,MIA,32.0,90.81,0.082
50,Brian Scalabrine,NJN,26.0,89.98,0.075
51,Brian Skinner,MIL,28.0,92.69,0.09
52,Britton Johnsen,ORL,24.0,89.23,0.008
53,Bruce Bowen,SAS,33.0,90.82,0.057
54,Bruno Sundov,NYK,24.0,89.47,0.0
55,Bryce Drew,NOH,29.0,96.65,0.045
56,Bryon Russell,LAL,33.0,94.62,0.08
57,Calbert Cheaney,GSW,32.0,91.34,0.068
58,Calvin Booth,SEA,28.0,93.84,0.078
59,Carlos Arroyo,UTA,24.0,89.07,0.122
60,Carlos Boozer,CLE,22.0,94.2,0.154
61,Carmelo Anthony,DEN,20.0,96.86,0.105
62,Caron Butler,MIA,24.0,90.72,0.072
63,Casey Jacobsen,PHX,23.0,95.2,0.066
64,Cezary Trybanski,NYK,24.0,94.56,-0.325
65,Charles Oakley,HOU,40.0,101.56,0.025
66,Charlie Ward,SAS,33.0,92.59,0.114
67,Chauncey Billups,DET,27.0,90.62,0.137
68,Cherokee Parks,GSW,31.0,96.66,0.033
69,Chris Andersen,DEN,25.0,96.57,0.096
70,Chris Bosh,TOR,20.0,89.61,0.1
71,Chris Crawford,ATL,29.0,94.03,0.087
72,Chris Jefferies,CHI,24.0,98.88,0.03
73,Chris Kaman,LAC,22.0,92.5,0.068
74,Chris Mihm,BOS,24.0,95.01,0.093
75,Chris Webber,SAC,31.0,95.84,0.112
76,Chris Whitney,WAS,32.0,93.75,0.08
77,Chris Wilcox,LAC,21.0,93.81,0.089
78,Christian Laettner,WAS,34.0,94.72,0.11
79,Chucky Atkins,BOS,29.0,92.58,0.089
80,Clar. Weatherspoon,HOU,33.0,90.25,0.103
81,Clifford Robinson,GSW,37.0,92.11,0.067
82,Corey Maggette,LAC,24.0,94.52,0.13
83,Corie Blount,TOR,35.0,93.05,0.085
84,Corliss Williamson,DET,30.0,89.78,0.098
85,Curtis Borchardt,UTA,23.0,90.59,0.053
86,Cuttino Mobley,HOU,28.0,90.46,0.103
87,Dahntay Jones,MEM,23.0,92.7,-0.008
88,Dajuan Wagner,CLE,21.0,92.45,0.038
89,Dale Davis,POR,35.0,88.31,0.078
90,Damon Jones,MIL,27.0,95.19,0.104
91,Damon Stoudamire,POR,30.0,88.58,0.101
92,Damone Brown,NJN,25.0,94.43,-0.099
93,Dan Dickau,POR,25.0,93.33,0.047
94,Dan Gadzuric,MIL,26.0,94.8,0.095
95,Dan Langhi,MIL,26.0,95.14,-0.012
96,Dana Barros,BOS,37.0,108.5,0.058
97,Daniel Santiago,MIL,28.0,94.34,0.059
98,Danny Fortson,DAL,28.0,95.96,0.075
99,Darius Miles,POR,22.0,90.63,0.104
100,Darius Songaila,SAC,26.0,94.47,0.089
101,Darko Milicic,DET,19.0,88.49,0.008
102,Darrell Armstrong,NOH,36.0,92.92,0.11
103,Darrick Martin,MIN,33.0,91.8,0.023
104,Darvin Ham,DET,30.0,91.32,0.049
105,David Wesley,NOH,33.0,92.23,0.073
106,David West,NOH,23.0,91.58,0.119
107,DeSagana Diop,CLE,22.0,91.1,0.063
108,DeShawn Stevenson,ORL,23.0,91.41,0.077
109,DerMarr Johnson,NYK,24.0,90.14,0.07
110,Derek Anderson,POR,29.0,89.31,0.101
111,Derek Fisher,LAL,29.0,93.33,0.083
112,Derrick Coleman,PHI,37.0,90.41,0.089
113,Derrick Dial,ORL,28.0,91.17,0.086
114,Desmond Ferguson,POR,26.0,83.09,0.131
115,Desmond Mason,MIL,26.0,94.64,0.099
116,Desmond Penigar,ORL,22.0,91.96,0.096
117,Devean George,LAL,26.0,95.36,0.076
118,Devin Brown,SAS,25.0,92.48,0.099
119,Dikembe Mutombo,NYK,38.0,92.28,0.094
120,Dion Glover,TOR,25.0,92.63,0.086
121,Dirk Nowitzki,DAL,26.0,95.95,0.14
122,Donnell Harvey,PHX,23.0,94.84,0.058
123,Donyell Marshall,TOR,31.0,90.75,0.137
124,Doug Christie,SAC,34.0,96.24,0.087
125,Doug Overton,LAC,34.0,92.15,0.053
126,Drew Gooden,ORL,22.0,93.08,0.096
127,Dwyane Wade,MIA,22.0,91.54,0.118
128,Earl Boykins,DEN,28.0,95.76,0.117
