,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,A.J. Guyton,CHI,24.0,92.43,0.083
1,Aaron McKie,PHI,29.0,91.55,0.128
2,Aaron Williams,NJN,30.0,92.98,0.102
3,Adonal Foyle,GSW,27.0,96.2,0.069
4,Adrian Griffin,DAL,27.0,95.64,0.083
5,Al Harrington,IND,22.0,94.5,0.093
6,Alan Henderson,ATL,29.0,93.97,0.09
7,Allan Houston,NYK,31.0,92.9,0.095
8,Allen Iverson,PHI,27.0,92.97,0.149
9,Alonzo Mourning,MIA,32.0,89.39,0.132
10,Alton Ford,PHX,21.0,94.63,0.049
11,Alvin Jones,PHI,23.0,91.24,-0.006
12,Alvin Williams,TOR,27.0,92.15,0.098
13,Amal McCaskill,SAS,28.0,97.33,0.033
14,Andre Miller,CLE,26.0,92.85,0.148
15,Andrei Kirilenko,UTA,21.0,93.46,0.125
16,Andrew DeClercq,ORL,29.0,94.72,0.042
17,Anfernee Hardaway,PHX,30.0,94.27,0.098
18,Ansu Sesay,SEA,25.0,90.93,0.084
19,Antawn Jamison,GSW,26.0,98.44,0.107
20,Anthony Carter,MIA,27.0,90.07,0.08
21,Anthony Johnson,NJN,27.0,89.48,0.087
22,Anthony Mason,MIL,35.0,92.82,0.1
23,Anthony Peeler,MIN,32.0,93.56,0.081
24,Antoine Walker,BOS,25.0,95.03,0.126
25,Antonio Daniels,SAS,27.0,92.4,0.097
26,Antonio Davis,TOR,33.0,91.24,0.11
27,Antonio Harvey,SEA,31.0,93.89,0.018
28,Antonio McDyess,DEN,27.0,96.47,0.133
29,Antonis Fotsis,MEM,21.0,93.36,0.077
30,Art Long,SEA,29.0,90.59,0.048
31,Austin Croshere,IND,27.0,94.12,0.111
32,Avery Johnson,DAL,37.0,91.69,0.111
33,Baron Davis,CHH,23.0,92.76,0.121
34,Ben Wallace,DET,27.0,91.45,0.142
35,Bimbo Coles,CLE,34.0,90.31,0.064
36,Bo Outlaw,PHX,31.0,92.82,0.071
37,Bob Sura,GSW,29.0,96.18,0.116
38,Bobby Jackson,SAC,29.0,95.5,0.115
39,Bobby Simmons,WAS,22.0,91.67,0.076
40,Bonzi Wells,POR,25.0,92.62,0.117
41,Brad Miller,IND,26.0,92.72,0.14
42,Brandon Armstrong,NJN,22.0,91.94,-0.012
43,Brendan Haywood,WAS,22.0,89.37,0.079
44,Brent Barry,SEA,30.0,92.2,0.136
45,Brent Price,SAC,33.0,104.78,0.017
46,Brevin Knight,MEM,26.0,92.95,0.113
47,Brian Cardinal,DET,25.0,90.83,0.097
48,Brian Grant,MIA,30.0,89.15,0.103
49,Brian Scalabrine,NJN,24.0,92.9,0.029
50,Brian Shaw,LAL,36.0,95.07,0.098
51,Brian Skinner,CLE,26.0,92.55,0.073
52,Bruce Bowen,SAS,31.0,91.24,0.047
53,Bruno Sundov,IND,22.0,100.62,0.04
54,Bryant Stith,CLE,31.0,92.6,0.078
55,Bryce Drew,CHH,27.0,90.97,0.093
56,Bryon Russell,UTA,31.0,92.57,0.066
57,Cal Bowdler,ATL,25.0,94.13,0.05
58,Calbert Cheaney,DEN,30.0,92.96,0.069
59,Calvin Booth,SEA,26.0,92.46,0.057
60,Carlos Arroyo,DEN,22.0,93.58,0.103
61,Carlos Rogers,IND,31.0,91.75,0.088
62,Cedric Henderson,GSW,27.0,99.29,0.082
63,Charles Oakley,CHI,38.0,92.04,0.062
64,Charles Smith,SAS,26.0,94.08,0.074
