,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,A.C. Green,DAL,35.0,90.34,0.08
1,Aaron McKie,PHI,26.0,92.76,0.09
2,Aaron Williams,SEA,27.0,94.22,0.092
3,Adam Keefe,UTA,29.0,90.39,0.089
4,Adonal Foyle,GSW,24.0,92.38,0.081
5,Adonis Jordan,MIL,28.0,104.45,0.079
6,Al Harrington,IND,19.0,88.84,0.008
7,Alan Henderson,ATL,26.0,88.77,0.102
8,Allan Houston,NYK,28.0,90.17,0.096
9,Allen Iverson,PHI,24.0,91.84,0.154
10,Alonzo Mourning,MIA,29.0,86.8,0.17
11,Alvin Sims,PHX,24.0,99.06,0.047
12,Alvin Williams,TOR,24.0,91.31,0.069
13,Andrae Patterson,MIN,23.0,94.71,0.073
14,Andrew DeClercq,CLE,26.0,90.88,0.085
15,Andrew Gaze,SAS,33.0,100.34,0.043
16,Andrew Lang,CHI,33.0,87.84,0.047
17,Anfernee Hardaway,ORL,27.0,91.42,0.123
18,Antawn Jamison,GSW,23.0,92.04,0.113
19,Anthony Avent,UTA,29.0,92.44,-0.034
20,Anthony Johnson,ATL,24.0,87.81,0.083
21,Anthony Miller,HOU,27.0,95.11,0.076
22,Anthony Parker,PHI,24.0,87.02,-0.667
23,Anthony Peeler,MIN,29.0,97.38,0.065
24,Antoine Carr,HOU,37.0,91.64,0.038
25,Antoine Walker,BOS,22.0,93.67,0.107
26,Antonio Daniels,SAS,24.0,90.87,0.134
27,Antonio Davis,IND,30.0,89.14,0.115
28,Antonio Lang,CLE,27.0,85.08,0.04
29,Antonio McDyess,DEN,24.0,93.49,0.132
30,Armen Gilliam,MIL,35.0,88.06,0.109
31,Arvydas Sabonis,POR,34.0,90.71,0.154
32,Austin Croshere,IND,24.0,87.18,0.073
33,Avery Johnson,SAS,34.0,91.35,0.106
34,B.J. Armstrong,ORL,31.0,91.36,0.11
35,Ben Davis,NYK,26.0,100.93,0.135
36,Ben Wallace,WAS,24.0,91.32,0.107
37,Benoit Benjamin,PHI,34.0,91.55,-0.033
38,Bill Curley,MIN,27.0,95.86,0.013
39,Bill Wennington,CHI,36.0,89.49,0.03
40,Billy Owens,SEA,30.0,92.35,0.068
41,Bimbo Coles,GSW,31.0,92.56,0.107
42,Bison Dele,DET,30.0,87.79,0.094
43,Blue Edwards,MIA,33.0,88.96,0.093
44,Bo Outlaw,ORL,28.0,90.59,0.09
45,Bob Sura,CLE,26.0,87.08,0.087
46,Bobby Jackson,MIN,26.0,92.3,0.112
47,Bobby Phills,CHH,29.0,92.55,0.088
48,Bonzi Wells,POR,22.0,106.91,0.137
49,Brad Miller,CHH,23.0,92.04,0.143
50,Brandon Williams,SAS,24.0,114.67,0.1
51,Brent Barry,CHI,27.0,90.91,0.089
52,Brent Price,HOU,30.0,92.71,0.093
53,Brevin Knight,CLE,23.0,91.64,0.129
54,Brian Evans,MIN,25.0,97.35,0.106
55,Brian Grant,POR,27.0,90.76,0.127
56,Brian Shaw,POR,33.0,94.96,-0.154
57,Brian Skinner,LAC,23.0,93.62,0.082
58,Bruce Bowen,BOS,28.0,94.15,0.019
59,Bruno Sundov,DAL,19.0,105.45,-0.125
