,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,Aaron Brooks,HOU,23.0,90.85,0.088
1,Aaron Gray,CHI,23.0,95.35,0.074
2,Aaron Williams,LAC,36.0,94.95,0.065
3,Acie Law,ATL,23.0,93.56,0.054
4,Adonal Foyle,ORL,33.0,91.85,0.07
5,Adrian Griffin,SEA,33.0,93.78,0.063
6,Al Harrington,GSW,28.0,101.18,0.093
7,Al Horford,ATL,22.0,92.77,0.104
8,Al Jefferson,MIN,23.0,93.65,0.147
9,Al Thornton,LAC,24.0,93.8,0.083
10,Alando Tucker,PHX,24.0,91.62,0.079
11,Alexander Johnson,MIA,25.0,89.83,0.045
12,Allen Iverson,DEN,33.0,102.19,0.136
13,Alonzo Mourning,MIA,38.0,95.75,0.088
14,Amar'e Stoudemire,PHX,25.0,99.0,0.168
15,Amir Johnson,DET,21.0,93.37,0.108
16,Anderson Varejao,CLE,25.0,90.07,0.093
17,Andray Blatche,WAS,21.0,91.85,0.084
18,Andre Barrett,LAC,26.0,94.97,0.094
19,Andre Brown,MEM,27.0,97.28,0.069
20,Andre Iguodala,PHI,24.0,92.57,0.133
21,Andre Miller,PHI,32.0,92.64,0.13
22,Andre Owens,IND,27.0,99.12,0.07
23,Andrea Bargnani,TOR,22.0,92.15,0.061
24,Andrei Kirilenko,UTA,27.0,96.35,0.104
25,Andres Nocioni,CHI,28.0,96.72,0.092
26,Andrew Bogut,MIL,23.0,93.74,0.113
27,Andrew Bynum,LAL,20.0,99.4,0.154
28,Andris Biedrins,GSW,22.0,100.79,0.121
29,Anfernee Hardaway,MIA,36.0,92.35,0.075
30,Antawn Jamison,WAS,32.0,92.47,0.133
31,Anthony Carter,DEN,33.0,102.77,0.085
32,Anthony Johnson,SAC,33.0,94.18,0.083
33,Anthony Parker,TOR,33.0,92.46,0.093
34,Antoine Walker,MIN,31.0,96.07,0.069
35,Antoine Wright,DAL,24.0,92.97,0.055
36,Antonio Daniels,WAS,33.0,91.65,0.099
37,Antonio McDyess,DET,33.0,88.66,0.096
38,Arron Afflalo,DET,22.0,91.71,0.073
39,Austin Croshere,GSW,33.0,99.62,0.089
40,Awvee Storey,MIL,31.0,94.68,0.046
41,Baron Davis,GSW,29.0,101.71,0.122
42,Ben Gordon,CHI,25.0,96.04,0.112
43,Ben Wallace,CLE,33.0,92.83,0.082
44,Beno Udrih,SAC,25.0,96.8,0.097
45,Billy Thomas,CLE,32.0,91.47,-0.032
46,Blake Ahearn,MIA,24.0,85.05,0.082
