,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,A.J. Price,IND,25.0,92.89,0.095
1,Aaron Gray,TOR,27.0,90.35,0.079
2,Al Harrington,DEN,32.0,96.55,0.104
3,Al Horford,ATL,26.0,91.56,0.13
4,Al Jefferson,UTA,27.0,93.54,0.154
5,Al-Farouq Aminu,NOH,21.0,90.03,0.075
6,Alan Anderson,TOR,29.0,89.39,0.052
7,Alec Burks,UTA,20.0,93.85,0.081
8,Alonzo Gee,CLE,25.0,94.05,0.089
9,Amar'e Stoudemire,NYK,29.0,96.09,0.124
10,Amir Johnson,TOR,25.0,91.25,0.096
11,Anderson Varejao,CLE,29.0,95.19,0.128
12,Andray Blatche,WAS,25.0,95.23,0.07
13,Andre Emmett,NJN,29.0,87.02,0.092
14,Andre Iguodala,PHI,28.0,91.81,0.134
15,Andre Miller,DEN,36.0,95.36,0.108
16,Andrea Bargnani,TOR,26.0,91.11,0.129
17,Andres Nocioni,PHI,32.0,94.29,0.023
18,Andrew Bogut,MIL,27.0,94.02,0.121
19,Andrew Bynum,LAL,24.0,92.69,0.165
20,Andrew Goudelock,LAL,23.0,89.25,0.052
21,Andris Biedrins,GSW,26.0,92.63,0.045
22,Antawn Jamison,CLE,36.0,94.99,0.093
23,Anthony Carter,TOR,37.0,93.95,0.087
24,Anthony Morrow,NJN,26.0,93.46,0.077
25,Anthony Parker,CLE,37.0,95.21,0.073
26,Anthony Randolph,MIN,22.0,97.51,0.103
27,Anthony Tolliver,MIN,27.0,95.75,0.051
28,Armon Johnson,NJN,23.0,95.51,0.102
29,Arron Afflalo,DEN,26.0,96.1,0.091
30,Austin Daye,DET,24.0,92.3,0.045
31,Avery Bradley,BOS,21.0,92.59,0.076
32,Baron Davis,NYK,33.0,93.58,0.074
33,Ben Gordon,DET,29.0,92.05,0.09
34,Ben Uzoh,TOR,24.0,89.47,0.096
35,Ben Wallace,DET,37.0,89.38,0.094
36,Beno Udrih,MIL,29.0,94.9,0.1
37,Bismack Biyombo,CHA,19.0,93.29,0.066
38,Blake Ahearn,UTA,28.0,100.05,-0.069
39,Blake Griffin,LAC,23.0,91.45,0.156
40,Bobby Simmons,LAC,32.0,93.01,0.031
41,Boris Diaw,SAS,30.0,95.21,0.085
42,Brad Miller,MIN,36.0,95.01,0.084
43,Brandan Wright,DAL,24.0,94.67,0.127
44,Brandon Bass,BOS,27.0,92.83,0.101
