,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,A.C. Green,DAL,34.0,91.53,0.096
1,Aaron McKie,PHI,25.0,91.97,0.063
2,Aaron Williams,SEA,26.0,95.87,0.071
3,Adam Keefe,UTA,28.0,91.95,0.094
4,Adonal Foyle,GSW,23.0,94.54,0.048
5,Adrian Caldwell,DAL,31.0,95.06,0.0
6,Alan Henderson,ATL,25.0,91.65,0.106
7,Allan Houston,NYK,27.0,91.26,0.105
8,Allen Iverson,PHI,23.0,93.24,0.135
9,Alonzo Mourning,MIA,28.0,88.71,0.155
10,Alton Lister,POR,39.0,90.53,-0.006
11,Alvin Williams,TOR,23.0,95.53,0.069
12,Andrew DeClercq,BOS,25.0,94.49,0.069
13,Andrew Lang,MIL,32.0,92.58,0.047
14,Anfernee Hardaway,ORL,26.0,91.44,0.113
15,Anthony Bowie,NYK,34.0,93.96,0.075
16,Anthony Goldwire,DEN,26.0,92.21,0.091
17,Anthony Johnson,SAC,23.0,94.77,0.055
18,Anthony Mason,CHH,31.0,91.17,0.134
19,Anthony Miller,ATL,26.0,99.01,0.077
20,Anthony Parker,PHI,23.0,99.3,0.084
21,Anthony Peeler,MIN,28.0,94.68,0.089
22,Antoine Carr,UTA,36.0,90.39,0.043
23,Antoine Walker,BOS,21.0,95.49,0.126
24,Antonio Daniels,VAN,23.0,96.2,0.068
25,Antonio Davis,IND,29.0,89.46,0.109
26,Antonio Lang,MIA,26.0,113.43,0.073
27,Antonio McDyess,PHX,23.0,93.77,0.13
28,Armen Gilliam,MIL,34.0,93.05,0.115
29,Arvydas Sabonis,POR,33.0,92.88,0.163
30,Austin Croshere,IND,23.0,93.96,0.039
31,Avery Johnson,SAS,33.0,91.87,0.109
32,B.J. Armstrong,CHH,30.0,93.74,0.102
33,Ben Davis,NYK,25.0,109.04,-0.067
34,Ben Wallace,WAS,23.0,95.66,0.091
35,Benoit Benjamin,PHI,33.0,94.32,0.082
36,Bill Curley,MIN,26.0,94.58,0.028
37,Bill Wennington,CHI,35.0,92.15,0.048
38,Billy Owens,SAC,29.0,94.79,0.105
39,Bimbo Coles,GSW,30.0,95.63,0.075
40,Bison Dele,DET,29.0,90.27,0.125
41,Blue Edwards,VAN,32.0,93.57,0.09
42,Bo Outlaw,ORL,27.0,89.29,0.105
43,Bob McCann,TOR,34.0,107.03,-0.077
44,Bob Sura,CLE,25.0,91.95,0.064
45,Bobby Hurley,VAN,27.0,94.55,0.066
46,Bobby Jackson,DEN,25.0,93.37,0.098
47,Bobby Phills,CHH,28.0,91.59,0.076
48,Brad Lohaus,SAS,33.0,84.98,0.025
49,Brandon Williams,GSW,23.0,97.35,-0.006
50,Brent Barry,MIA,26.0,96.36,0.093
51,Brent Price,HOU,29.0,94.12,0.062
52,Brevin Knight,CLE,22.0,92.57,0.13
53,Brian Evans,NJN,24.0,93.83,0.07
54,Brian Grant,POR,26.0,91.7,0.125
55,Brian Oliver,ATL,30.0,98.72,0.028
56,Brian Shaw,PHI,32.0,94.11,0.072
57,Brooks Thompson,NYK,27.0,96.23,0.066
58,Bruce Bowen,BOS,27.0,96.72,0.055
59,Bryant Reeves,VAN,25.0,93.61,0.109
60,Bryant Stith,DEN,27.0,91.55,0.056
61,Bryon Russell,UTA,27.0,91.77,0.086
62,Bubba Wells,DAL,23.0,95.18,0.068
63,Buck Williams,NYK,38.0,90.54,0.082
64,Calbert Cheaney,WAS,26.0,94.53,0.071
65,Carl Herrera,SAS,31.0,90.39,0.047
66,Carl Thomas,CLE,28.0,96.08,0.069
67,Carlos Rogers,POR,27.0,95.36,0.072
68,Cedric Ceballos,DAL,28.0,93.55,0.138
