,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,Aaron Brooks,CHI,31.0,97.22,0.073
1,Aaron Gordon,ORL,20.0,98.87,0.113
2,Aaron Harrison,CHA,21.0,102.89,0.013
3,Adreian Payne,MIN,25.0,96.48,0.039
4,Al Horford,ATL,30.0,99.75,0.137
5,Al Jefferson,CHA,31.0,97.68,0.124
6,Al-Farouq Aminu,POR,25.0,99.01,0.088
7,Alan Anderson,WAS,33.0,100.19,0.066
8,Alan Williams,PHX,23.0,107.52,0.11
9,Alec Burks,UTA,24.0,95.52,0.099
10,Alex Len,PHX,23.0,100.34,0.091
11,Alex Stepheson,MEM,28.0,99.8,0.038
12,Alexis Ajinca,NOP,28.0,98.04,0.095
13,Allen Crabbe,POR,24.0,98.9,0.075
14,Alonzo Gee,NOP,29.0,99.61,0.053
15,Amar'e Stoudemire,MIA,33.0,95.46,0.109
16,Amir Johnson,BOS,29.0,100.21,0.103
17,Anderson Varejao,GSW,33.0,98.15,0.08
18,Andre Drummond,DET,22.0,97.45,0.14
19,Andre Iguodala,GSW,32.0,101.79,0.089
20,Andre Miller,SAS,40.0,91.45,0.096
21,Andre Roberson,OKC,24.0,98.84,0.058
22,Andrea Bargnani,BKN,30.0,96.68,0.073
23,Andrew Bogut,GSW,31.0,101.07,0.106
24,Andrew Goudelock,HOU,27.0,105.1,0.074
25,Andrew Nicholson,ORL,26.0,96.81,0.119
26,Andrew Wiggins,MIN,21.0,98.16,0.094
27,Anthony Bennett,TOR,23.0,97.98,0.063
28,Anthony Brown,LAL,23.0,97.53,0.037
29,Anthony Davis,NOP,23.0,99.13,0.165
30,Anthony Morrow,OKC,30.0,98.93,0.057
31,Anthony Tolliver,DET,31.0,96.34,0.076
32,Archie Goodwin,PHX,21.0,100.91,0.072
33,Aron Baynes,DET,29.0,96.99,0.112
34,Arron Afflalo,NYK,30.0,94.97,0.076
35,Austin Rivers,LAC,23.0,98.41,0.069
36,Avery Bradley,BOS,25.0,100.77,0.082
37,Axel Toupane,DEN,23.0,97.04,0.029
38,Ben McLemore,SAC,23.0,103.34,0.048
39,Beno Udrih,MEM,33.0,94.74,0.077
40,Bismack Biyombo,TOR,23.0,94.65,0.105
41,Blake Griffin,LAC,27.0,99.04,0.171
42,Boban Marjanovic,SAS,27.0,93.48,0.181
43,Bobby Portis,CHI,21.0,97.15,0.093
44,Bojan Bogdanovic,BKN,27.0,97.47,0.072
45,Boris Diaw,SAS,34.0,97.49,0.099
46,Bradley Beal,WAS,23.0,101.02,0.099
47,Brandan Wright,MEM,28.0,95.64,0.106
48,Branden Dawson,LAC,23.0,92.59,0.03
49,Brandon Bass,LAL,31.0,98.08,0.105
50,Brandon Jennings,ORL,26.0,99.62,0.095
51,Brandon Knight,PHX,24.0,100.71,0.101
52,Brandon Rush,GSW,30.0,100.87,0.071
