,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,opp_5_9ft_FGM,opp_5_9ft_FGA,opp_5_9ft_FG_PCT,opp_10_14ft_FGM,opp_10_14ft_FGA,opp_10_14ft_FG_PCT,opp_15_19ft_FGM,opp_15_19ft_FGA,opp_15_19ft_FG_PCT,opp_20_24ft_FGM,opp_20_24ft_FGA,opp_20_24ft_FG_PCT,opp_25_29ft_FGM,opp_25_29ft_FGA,opp_25_29ft_FG_PCT,opp_30_34ft_FGM,opp_30_34ft_FGA,opp_30_34ft_FG_PCT,opp_35_39ft_FGM,opp_35_39ft_FGA,opp_35_39ft_FG_PCT,opp_40aboveft_FGM,opp_40aboveft_FGA,opp_40aboveft_FG_PCT,SEASON
0,0,201985,A.J. Price,1610612754,IND,24.0,4.8,7.9,0.602,1.0,2.4,0.427,1.0,2.7,0.378,2.2,5.8,0.377,1.6,4.0,0.406,1.2,3.2,0.382,0.0,0.2,0.0,0.1,0.1,1.0,0.0,0.2,0.167,2010
1,1,201166,Aaron Brooks,1610612756,PHX,26.0,8.2,12.5,0.652,2.1,5.1,0.42,1.5,3.5,0.413,2.9,6.8,0.424,3.0,7.6,0.39,1.1,3.0,0.352,0.1,0.1,0.5,0.0,0.1,0.0,0.0,0.3,0.0,2010
2,2,201189,Aaron Gray,1610612740,NOH,26.0,3.4,5.1,0.654,1.1,2.2,0.5,0.8,2.1,0.368,2.0,4.5,0.446,1.4,3.9,0.364,1.1,3.0,0.364,0.1,0.1,1.0,0.0,0.3,0.0,0.0,0.5,0.0,2010
3,3,201151,Acie Law,1610612744,GSW,26.0,5.1,8.3,0.614,0.8,2.5,0.323,0.9,2.3,0.389,1.5,3.6,0.425,1.7,3.8,0.448,1.0,3.3,0.313,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,2010
4,4,1733,Al Harrington,1610612743,DEN,31.0,8.5,13.2,0.65,1.5,3.8,0.402,1.1,2.5,0.456,2.7,6.7,0.394,3.2,8.2,0.39,1.5,4.6,0.317,0.0,0.4,0.0,0.1,0.3,0.25,0.0,0.3,0.0,2010
5,5,201143,Al Horford,1610612737,ATL,25.0,11.7,19.3,0.608,2.3,5.9,0.387,1.6,4.3,0.374,5.1,12.2,0.419,4.0,10.6,0.381,1.9,5.8,0.331,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,2010
6,6,2744,Al Jefferson,1610612762,UTA,26.0,12.8,21.5,0.595,2.8,7.1,0.4,1.8,4.8,0.381,3.5,8.2,0.433,5.7,14.4,0.396,1.1,3.5,0.327,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.2,0.083,2010
7,7,201154,Al Thornton,1610612744,GSW,27.0,7.5,11.9,0.627,1.3,3.7,0.362,0.9,2.4,0.385,2.1,5.7,0.364,2.1,5.2,0.4,1.4,3.5,0.391,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2010
8,8,202329,Al-Farouq Aminu,1610612746,LAC,20.0,6.3,10.4,0.605,0.9,2.3,0.38,0.9,2.3,0.41,2.1,5.7,0.361,2.4,6.1,0.399,1.4,3.7,0.371,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.2,0.0,2010
9,9,201582,Alexis Ajinca,1610612761,TOR,23.0,3.1,5.6,0.558,0.6,1.9,0.339,0.7,1.7,0.4,1.3,3.0,0.441,1.1,3.3,0.336,0.5,1.9,0.24,0.0,0.2,0.0,0.0,0.7,0.0,0.0,0.1,0.0,2010
