,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,opp_5_9ft_FGM,opp_5_9ft_FGA,opp_5_9ft_FG_PCT,opp_10_14ft_FGM,opp_10_14ft_FGA,opp_10_14ft_FG_PCT,opp_15_19ft_FGM,opp_15_19ft_FGA,opp_15_19ft_FG_PCT,opp_20_24ft_FGM,opp_20_24ft_FGA,opp_20_24ft_FG_PCT,opp_25_29ft_FGM,opp_25_29ft_FGA,opp_25_29ft_FG_PCT,opp_30_34ft_FGM,opp_30_34ft_FGA,opp_30_34ft_FG_PCT,opp_35_39ft_FGM,opp_35_39ft_FGA,opp_35_39ft_FG_PCT,opp_40aboveft_FGM,opp_40aboveft_FGA,opp_40aboveft_FG_PCT,SEASON
0,0,243,Aaron McKie,1610612755,PHI,32.0,4.8,7.9,0.608,1.1,2.6,0.41,1.0,3.1,0.327,2.3,5.6,0.413,1.6,4.5,0.358,1.4,4.2,0.324,0.0,0.6,0.0,0.0,0.3,0.0,0.1,0.8,0.077,2004
1,1,1425,Aaron Williams,1610612761,TOR,33.0,2.4,3.7,0.65,0.8,1.8,0.421,0.5,1.4,0.326,1.1,2.7,0.416,0.9,2.2,0.436,0.5,1.3,0.356,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2004
2,2,1502,Adonal Foyle,1610612744,GSW,30.0,7.7,13.6,0.566,1.6,4.6,0.349,1.4,3.7,0.376,3.2,7.9,0.399,2.5,5.7,0.443,1.2,3.3,0.357,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.6,0.0,2004
3,3,1559,Adrian Griffin,1610612741,CHI,30.0,2.8,5.0,0.567,0.5,1.4,0.37,0.6,1.8,0.313,1.4,3.5,0.396,0.7,2.9,0.258,0.4,1.8,0.237,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.7,0.0,2004
4,4,1733,Al Harrington,1610612737,ATL,25.0,14.2,23.6,0.6,2.5,5.8,0.426,2.4,5.8,0.409,4.9,11.6,0.426,3.8,9.4,0.409,1.8,5.2,0.348,0.0,0.7,0.0,0.0,0.4,0.0,0.0,0.5,0.0,2004
5,5,2744,Al Jefferson,1610612738,BOS,20.0,4.9,8.7,0.56,1.0,2.2,0.425,0.7,2.0,0.361,1.7,4.7,0.361,1.9,5.3,0.357,0.6,1.9,0.32,0.2,0.8,0.25,0.0,0.6,0.0,0.0,0.6,0.0,2004
6,6,673,Alan Henderson,1610612742,DAL,32.0,5.2,9.2,0.563,1.3,3.4,0.382,1.1,2.7,0.42,1.7,4.6,0.371,2.1,5.4,0.396,0.6,1.9,0.294,0.0,0.6,0.0,0.0,0.8,0.0,0.0,0.4,0.0,2004
7,7,1893,Aleksandar Radojevic,1610612762,UTA,28.0,3.1,5.2,0.597,0.3,1.2,0.25,1.1,2.1,0.526,0.9,2.8,0.323,1.2,3.3,0.35,0.3,1.0,0.3,0.0,0.0,0.0,,,,,,,2004
8,8,2682,Alex Garcia,1610612740,NOH,25.0,5.8,9.5,0.605,2.6,4.3,0.6,1.1,2.6,0.444,2.0,5.1,0.39,1.8,4.4,0.4,0.3,1.6,0.182,,,,0.0,1.0,0.0,,,,2004
9,9,275,Allan Houston,1610612752,NYK,34.0,9.1,15.0,0.603,1.9,5.6,0.342,1.8,4.7,0.387,3.6,7.7,0.471,2.8,7.4,0.381,0.7,2.7,0.264,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,2004
10,10,947,Allen Iverson,1610612755,PHI,30.0,13.4,22.8,0.587,2.2,5.7,0.387,2.9,8.1,0.356,6.0,14.6,0.412,4.4,11.2,0.397,2.8,8.3,0.344,0.0,0.5,0.0,0.1,0.8,0.143,0.0,0.6,0.0,2004
11,11,297,Alonzo Mourning,1610612748,MIA,35.0,4.4,9.5,0.462,1.5,4.0,0.389,1.3,3.3,0.381,2.8,7.2,0.381,2.3,5.6,0.404,1.0,2.8,0.349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2004
12,12,2405,Amar'e Stoudemire,1610612756,PHX,22.0,13.7,22.9,0.599,2.5,6.4,0.397,2.2,6.3,0.344,5.7,14.2,0.398,4.8,12.2,0.397,1.9,5.9,0.312,0.2,0.8,0.25,,,,0.0,0.5,0.091,2004
13,13,2760,Anderson Varejao,1610612739,CLE,22.0,4.8,9.1,0.53,1.0,2.5,0.388,0.5,1.9,0.268,2.0,4.6,0.431,1.7,4.8,0.363,0.8,2.2,0.369,0.2,0.6,0.333,0.0,0.3,0.0,0.0,0.8,0.0,2004
14,14,2857,Andre Barrett,1610612753,ORL,23.0,3.1,5.2,0.586,1.0,2.5,0.405,1.2,2.6,0.446,1.9,4.6,0.413,1.3,4.2,0.311,0.7,2.5,0.289,,,,0.0,0.5,0.0,0.0,0.6,0.0,2004
15,15,2765,Andre Emmett,1610612763,MEM,22.0,1.5,2.5,0.6,0.0,0.2,0.0,0.5,0.8,0.667,0.3,0.7,0.4,0.3,1.5,0.222,0.0,0.8,0.0,,,,,,,,,,2004
16,16,2738,Andre Iguodala,1610612755,PHI,21.0,10.6,18.1,0.585,1.6,4.3,0.38,2.1,6.0,0.35,4.6,11.4,0.409,3.4,8.8,0.388,2.2,6.3,0.348,0.0,0.6,0.0,0.0,0.7,0.0,0.0,0.4,0.0,2004
17,17,1889,Andre Miller,1610612743,DEN,29.0,11.0,18.7,0.59,2.2,6.0,0.369,1.9,4.7,0.413,4.8,12.2,0.393,4.4,11.9,0.366,1.7,4.9,0.339,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.4,0.0,2004
18,18,1905,Andrei Kirilenko,1610612762,UTA,24.0,9.2,16.7,0.549,1.6,4.2,0.385,1.3,3.8,0.346,3.6,9.8,0.364,5.2,12.7,0.408,1.1,3.1,0.342,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.7,0.0,2004
19,19,2804,Andres Nocioni,1610612741,CHI,25.0,6.8,12.1,0.563,1.3,3.4,0.398,1.5,4.4,0.348,3.7,8.5,0.431,2.6,6.9,0.371,1.1,3.4,0.335,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.7,0.067,2004
20,20,692,Andrew DeClercq,1610612753,ORL,32.0,1.9,2.9,0.652,1.3,2.3,0.556,1.2,2.0,0.583,0.8,1.5,0.5,0.7,2.3,0.313,0.5,1.3,0.375,0.0,0.0,0.0,,,,0.0,0.0,0.0,2004
21,21,2740,Andris Biedrins,1610612744,GSW,19.0,3.4,6.7,0.507,1.0,2.6,0.378,0.7,2.0,0.36,1.0,3.6,0.28,1.5,4.0,0.372,1.2,2.9,0.413,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2004
22,22,358,Anfernee Hardaway,1610612752,NYK,33.0,8.3,13.3,0.625,1.5,4.6,0.337,1.2,3.0,0.414,2.8,7.0,0.407,2.8,7.2,0.386,0.9,2.5,0.36,0.0,0.4,0.0,,,,0.0,0.4,0.0,2004
23,23,1738,Ansu Sesay,1610612744,GSW,28.0,2.3,4.4,0.507,0.8,1.7,0.48,0.9,2.1,0.435,0.8,2.4,0.333,0.9,2.5,0.35,0.6,1.4,0.429,0.0,0.5,0.0,,,,0.0,1.0,0.0,2004
24,24,1712,Antawn Jamison,1610612764,WAS,29.0,13.8,22.4,0.615,2.5,7.3,0.351,2.6,6.3,0.417,5.2,13.0,0.399,3.7,9.7,0.385,2.7,7.6,0.359,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.8,0.0,2004
25,25,1853,Anthony Carter,1610612750,MIN,30.0,3.4,5.9,0.573,1.0,2.7,0.352,1.3,3.3,0.4,1.6,4.7,0.343,1.7,4.5,0.368,0.7,1.9,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2004
26,26,924,Anthony Goldwire,1610612749,MIL,33.0,7.1,11.5,0.618,0.8,2.0,0.379,1.4,3.4,0.396,2.0,5.4,0.368,1.4,3.7,0.391,1.1,2.9,0.364,,,,0.0,0.0,0.0,0.0,0.6,0.0,2004
27,27,1533,Anthony Johnson,1610612754,IND,30.0,8.2,15.3,0.534,2.0,4.5,0.445,1.9,4.8,0.398,3.9,10.2,0.378,2.4,6.4,0.382,1.2,3.2,0.358,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.5,0.0,2004
28,28,292,Anthony Miller,1610612737,ATL,33.0,2.0,2.5,0.8,0.5,1.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,0.0,0.0,0.5,0.0,,,,,,,,,,2004
29,29,324,Anthony Peeler,1610612764,WAS,35.0,4.5,7.6,0.593,1.3,2.6,0.49,0.8,2.0,0.39,1.6,4.2,0.389,1.5,3.5,0.437,1.1,2.6,0.409,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,2004
30,30,952,Antoine Walker,1610612738,BOS,28.0,14.6,24.4,0.6,2.0,5.2,0.393,2.3,6.0,0.378,4.9,11.7,0.419,4.0,9.8,0.406,1.7,5.0,0.343,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.6,0.056,2004
31,31,2766,Antonio Burks,1610612763,MEM,25.0,2.5,4.6,0.536,0.5,1.4,0.379,0.6,1.6,0.407,1.1,3.1,0.354,1.2,3.0,0.415,0.5,1.2,0.381,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2004
32,32,1498,Antonio Daniels,1610612760,SEA,30.0,9.5,15.8,0.6,1.8,4.2,0.435,1.3,3.7,0.355,2.9,7.5,0.387,2.8,7.7,0.365,1.5,4.6,0.319,0.1,0.7,0.125,0.0,0.3,0.0,0.0,0.4,0.0,2004
33,33,213,Antonio Davis,1610612741,CHI,36.0,7.1,12.9,0.549,1.6,4.1,0.405,1.9,5.2,0.372,3.9,9.8,0.397,2.5,7.1,0.353,1.1,3.4,0.336,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.5,0.25,2004
34,34,686,Antonio McDyess,1610612765,DET,30.0,7.3,12.4,0.587,1.2,3.1,0.38,1.3,3.8,0.336,3.3,8.3,0.393,2.1,5.5,0.372,1.3,3.4,0.381,0.1,0.8,0.167,0.1,0.9,0.1,0.0,0.6,0.0,2004
35,35,1506,Austin Croshere,1610612754,IND,30.0,7.7,13.9,0.553,1.4,3.4,0.421,1.8,4.0,0.437,3.7,9.2,0.402,2.3,5.5,0.416,1.4,3.5,0.396,0.1,0.5,0.25,0.0,0.7,0.0,0.0,0.4,0.0,2004
36,36,2852,Awvee Storey,1610612751,NJN,28.0,1.0,1.7,0.6,0.0,0.5,0.0,0.2,1.2,0.167,0.7,2.0,0.333,0.2,0.8,0.2,0.3,1.3,0.25,,,,,,,,,,2004
37,37,1884,Baron Davis,1610612744,GSW,26.0,11.4,19.7,0.577,2.2,5.4,0.399,2.0,5.4,0.366,4.2,11.4,0.366,4.6,11.0,0.42,1.8,5.7,0.322,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.6,0.0,2004
38,38,2732,Ben Gordon,1610612741,CHI,22.0,6.8,13.2,0.516,1.3,3.4,0.388,1.7,4.3,0.402,3.3,9.0,0.369,2.2,6.8,0.328,1.0,3.8,0.273,0.0,0.7,0.0,0.0,0.4,0.0,0.0,0.7,0.053,2004
39,39,1052,Ben Handlogten,1610612762,UTA,31.0,4.1,6.0,0.69,0.9,2.0,0.444,0.7,1.5,0.464,1.1,3.6,0.306,2.5,5.8,0.43,0.7,1.8,0.379,,,,,,,0.0,0.3,0.0,2004
40,40,1112,Ben Wallace,1610612765,DET,30.0,11.5,20.9,0.55,1.7,4.8,0.346,2.2,5.9,0.372,5.0,13.8,0.359,3.1,8.3,0.37,1.9,5.9,0.329,0.1,0.7,0.2,0.0,0.8,0.0,0.1,0.5,0.167,2004
41,41,2757,Beno Udrih,1610612759,SAS,22.0,4.4,8.6,0.519,1.3,3.2,0.413,1.0,2.8,0.372,1.6,4.6,0.351,1.3,3.3,0.402,0.4,1.3,0.321,0.0,0.5,0.0,0.0,0.7,0.0,0.0,0.5,0.0,2004
42,42,2774,Bernard Robinson,1610612766,CHA,24.0,4.1,7.3,0.559,0.6,2.0,0.296,0.6,1.2,0.531,1.2,3.1,0.4,1.4,3.6,0.373,0.6,1.7,0.366,0.0,0.7,0.0,,,,0.0,0.4,0.0,2004
43,43,2873,Billy Thomas,1610612751,NJN,29.0,4.3,7.8,0.557,0.9,2.5,0.365,0.7,2.2,0.326,2.0,4.6,0.423,1.7,4.7,0.374,1.1,2.1,0.526,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.8,0.0,2004
44,44,448,Bo Outlaw,1610612756,PHX,34.0,1.7,3.1,0.563,0.4,1.0,0.379,0.4,1.3,0.31,0.9,2.3,0.395,0.7,1.9,0.388,0.3,1.1,0.256,,,,,,,0.0,0.0,0.0,2004
45,45,682,Bob Sura,1610612745,HOU,32.0,8.4,15.1,0.558,2.0,5.1,0.399,1.9,4.9,0.392,4.6,11.4,0.402,3.8,9.9,0.382,1.5,4.5,0.342,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.6,0.0,2004
46,46,1517,Bobby Jackson,1610612758,SAC,32.0,5.3,10.0,0.53,1.9,4.9,0.382,1.3,3.7,0.352,2.2,6.5,0.331,3.9,8.4,0.464,0.6,2.8,0.211,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.5,0.0,2004
47,47,2250,Bobby Simmons,1610612746,LAC,25.0,11.8,21.2,0.557,2.5,6.3,0.397,1.9,5.6,0.332,5.0,12.4,0.406,4.1,9.6,0.423,2.1,6.7,0.315,0.0,0.8,0.0,0.1,0.6,0.2,0.0,0.4,0.0,2004
48,48,1719,Bonzi Wells,1610612763,MEM,28.0,6.3,11.8,0.535,1.3,3.1,0.405,1.1,3.1,0.343,2.3,6.3,0.355,3.0,6.6,0.461,0.9,2.8,0.305,0.2,0.2,1.0,0.0,0.3,0.0,0.0,0.6,0.0,2004
49,49,2564,Boris Diaw,1610612737,ATL,23.0,6.1,10.5,0.578,1.2,2.9,0.408,1.1,2.8,0.399,2.2,5.7,0.382,1.9,4.6,0.402,0.9,2.7,0.34,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0,2004
50,50,2411,Bostjan Nachbar,1610612740,NOH,24.0,5.3,9.7,0.545,1.3,3.0,0.441,0.8,2.6,0.33,2.4,6.0,0.397,2.4,6.0,0.402,0.8,2.3,0.358,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.8,0.0,2004
51,51,1802,Brad Miller,1610612758,SAC,29.0,12.9,21.5,0.599,3.5,8.9,0.398,2.5,6.4,0.385,4.7,12.3,0.383,5.0,12.8,0.389,1.5,4.4,0.333,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.5,0.0,2004
52,52,2688,Brandin Knight,1610612745,HOU,23.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2004
53,53,2599,Brandon Hunter,1610612753,ORL,24.0,2.2,3.7,0.578,0.6,1.6,0.371,0.7,1.8,0.367,1.1,2.7,0.4,0.8,2.2,0.375,0.7,1.8,0.357,0.0,0.0,0.0,,,,0.0,0.5,0.0,2004
54,54,2217,Brendan Haywood,1610612764,WAS,25.0,9.1,15.5,0.588,1.8,5.2,0.338,2.0,4.9,0.409,3.9,10.5,0.371,2.9,7.2,0.398,1.8,5.2,0.352,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.7,0.0,2004
55,55,699,Brent Barry,1610612759,SAS,33.0,6.2,12.2,0.512,1.7,4.4,0.385,1.6,4.0,0.396,2.4,6.7,0.365,2.0,4.9,0.41,0.7,2.0,0.343,0.0,0.5,0.0,0.0,0.7,0.0,0.0,0.5,0.0,2004
56,56,1510,Brevin Knight,1610612766,CHA,29.0,11.0,18.5,0.593,1.8,5.0,0.356,1.7,4.1,0.404,4.0,9.7,0.418,3.5,8.2,0.426,1.4,3.9,0.348,0.1,0.9,0.167,0.0,1.0,0.0,0.0,0.4,0.0,2004
57,57,2073,Brian Cardinal,1610612763,MEM,28.0,6.9,12.9,0.536,1.3,3.5,0.371,1.2,3.4,0.345,2.9,7.1,0.413,3.5,8.6,0.404,0.6,2.6,0.231,0.4,0.8,0.5,0.0,0.5,0.0,0.0,0.6,0.0,2004
58,58,2567,Brian Cook,1610612747,LAL,24.0,4.3,7.4,0.579,1.2,2.8,0.415,0.8,2.2,0.37,2.1,5.8,0.357,1.9,4.7,0.413,0.9,2.7,0.342,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2004
