,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,,,,109.67,0.071
1,A.C. Green,LAL,36.0,94.51,0.088
2,A.J. Bramlett,CLE,23.0,103.89,-0.047
3,Aaron McKie,PHI,27.0,95.41,0.099
4,Aaron Williams,WAS,28.0,94.32,0.11
5,Adam Keefe,UTA,30.0,90.46,0.049
6,Adonal Foyle,GSW,25.0,97.52,0.067
7,Adrian Griffin,BOS,25.0,96.83,0.082
8,Al Harrington,IND,20.0,95.92,0.062
9,Alan Henderson,ATL,27.0,94.38,0.079
10,Aleksandar Radojevic,TOR,23.0,108.38,-0.01
11,Allan Houston,NYK,29.0,91.91,0.114
12,Allen Iverson,PHI,25.0,95.94,0.126
13,Alonzo Mourning,MIA,30.0,92.59,0.171
14,Alvin Williams,TOR,25.0,98.88,0.084
15,Andrae Patterson,MIN,24.0,108.36,0.049
16,Andre Miller,CLE,24.0,96.52,0.136
17,Andrew DeClercq,CLE,27.0,98.67,0.07
18,Andrew Lang,NYK,34.0,92.14,0.072
19,Anfernee Hardaway,PHX,28.0,96.19,0.134
20,Antawn Jamison,GSW,24.0,98.33,0.103
21,Anthony Avent,LAC,30.0,97.03,0.013
22,Anthony Carter,MIA,25.0,92.28,0.086
23,Anthony Johnson,ORL,25.0,97.2,0.049
24,Anthony Mason,CHH,33.0,95.86,0.114
25,Anthony Miller,HOU,28.0,97.79,0.09
26,Anthony Parker,ORL,25.0,102.32,0.07
27,Anthony Peeler,MIN,30.0,94.67,0.088
28,Antoine Carr,VAN,38.0,93.78,0.029
29,Antoine Walker,BOS,23.0,97.04,0.118
30,Antonio Daniels,SAS,25.0,92.64,0.106
31,Antonio Davis,TOR,31.0,94.89,0.098
32,Antonio Harvey,POR,29.0,91.05,0.085
33,Antonio Lang,PHI,28.0,103.89,0.014
34,Antonio McDyess,DEN,25.0,97.48,0.118
35,Armen Gilliam,UTA,36.0,90.27,0.116
36,Arvydas Sabonis,POR,35.0,92.89,0.152
37,Austin Croshere,IND,25.0,94.85,0.119
38,Avery Johnson,SAS,35.0,92.95,0.105
39,B.J. Armstrong,CHI,32.0,91.49,0.095
40,Baron Davis,CHH,21.0,95.86,0.085
41,Ben Davis,PHX,27.0,96.68,0.075
42,Ben Wallace,ORL,25.0,100.23,0.11
43,Benoit Benjamin,CLE,35.0,98.52,0.022
44,Bill Curley,GSW,28.0,97.14,0.019
45,Bill Wennington,SAC,37.0,94.85,0.04
46,Billy Owens,GSW,31.0,95.89,0.072
47,Bimbo Coles,ATL,32.0,94.26,0.084
48,Bo Outlaw,ORL,29.0,98.59,0.111
49,Bob Sura,CLE,27.0,99.95,0.111
50,Bobby Jackson,MIN,27.0,95.39,0.098
51,Bobby Phills,CHH,30.0,98.73,0.093
52,Bonzi Wells,POR,23.0,91.9,0.108
53,Brad Miller,CHH,24.0,98.41,0.128
54,Brent Barry,SEA,28.0,95.74,0.1
55,Brent Price,VAN,31.0,93.65,0.059
56,Brevin Knight,CLE,24.0,101.29,0.116
57,Brian Grant,POR,28.0,90.42,0.095
58,Brian Shaw,LAL,34.0,96.67,0.092
59,Brian Skinner,LAC,24.0,95.74,0.089
60,Bruce Bowen,MIA,29.0,90.5,0.032
61,Bruno Sundov,DAL,20.0,110.37,0.007
62,Bryant Reeves,VAN,27.0,93.22,0.059
63,Bryant Stith,DEN,29.0,95.92,0.091
64,Bryce Drew,HOU,25.0,96.45,0.073
65,Bryon Russell,UTA,29.0,92.25,0.099
66,Cal Bowdler,ATL,23.0,99.24,0.061
67,Calbert Cheaney,BOS,28.0,95.41,0.039
68,Calvin Booth,WAS,24.0,96.19,0.042
69,Carlos Rogers,HOU,29.0,95.89,0.104
70,Cedric Ceballos,DAL,30.0,97.93,0.112
71,Cedric Henderson,CLE,25.0,97.42,0.048
72,Charles Barkley,HOU,37.0,98.21,0.144
73,Charles Oakley,TOR,36.0,95.2,0.077
74,Charles R. Jones,LAC,24.0,97.53,0.07
75,Charlie Ward,NYK,29.0,93.17,0.1
76,Chauncey Billups,DEN,23.0,98.27,0.077
77,Cherokee Parks,VAN,27.0,94.23,0.072
78,Chris Anstey,CHI,25.0,92.31,0.11
79,Chris Carr,CHI,26.0,93.85,0.077
80,Chris Childs,NYK,32.0,90.36,0.062
81,Chris Crawford,ATL,25.0,94.25,0.058
82,Chris Dudley,NYK,35.0,91.63,0.006
83,Chris Gatling,DEN,32.0,99.65,0.117
84,Chris Herren,DEN,24.0,96.01,0.063
85,Chris Mills,GSW,30.0,97.57,0.107
86,Chris Mullin,IND,36.0,96.45,0.099
87,Chris Webber,SAC,27.0,102.74,0.159
88,Chris Whitney,WAS,28.0,94.93,0.116
89,Christian Laettner,DET,30.0,98.86,0.092
90,Chuck Person,SEA,36.0,95.45,0.022
91,Chucky Atkins,ORL,25.0,99.53,0.106
92,Chucky Brown,CHH,32.0,93.65,0.067
93,Clar. Weatherspoon,MIA,29.0,90.73,0.137
94,Clifford Robinson,PHX,33.0,96.69,0.113
95,Corey Benjamin,CHI,22.0,91.88,0.046
96,Corey Maggette,ORL,20.0,99.44,0.09
97,Corie Blount,PHX,31.0,96.31,0.043
98,Corliss Williamson,SAC,26.0,104.99,0.073
99,Cory Alexander,DEN,27.0,97.51,0.066
100,Cuttino Mobley,HOU,24.0,96.71,0.106
101,Dale Davis,IND,31.0,95.69,0.114
102,Dale Ellis,CHH,39.0,93.94,0.052
103,Damon Jones,DAL,23.0,100.53,0.081
104,Damon Stoudamire,POR,26.0,93.71,0.104
105,Dan Majerle,MIA,34.0,92.82,0.091
106,Dana Barros,BOS,33.0,96.8,0.113
107,Danny Ferry,CLE,33.0,96.67,0.086
108,Danny Fortson,BOS,24.0,97.18,0.137
109,Danny Manning,MIL,34.0,92.61,0.059
110,Darrell Armstrong,ORL,32.0,101.25,0.143
111,Darrick Martin,SAC,29.0,96.87,0.072
112,Darvin Ham,MIL,26.0,94.83,0.064
113,David Robinson,SAS,34.0,92.12,0.172
114,David Wesley,CHH,29.0,96.3,0.1
115,David Wingate,NYK,36.0,97.7,-0.13
116,DeMarco Johnson,NYK,24.0,91.69,-0.017
117,Dean Garrett,MIN,33.0,93.11,0.051
118,Dedric Willoughby,CHI,26.0,95.35,0.089
119,Dee Brown,TOR,31.0,96.31,0.072
120,Dell Curry,TOR,36.0,93.48,0.103
121,Dennis Rodman,DAL,39.0,96.71,0.081
122,Dennis Scott,VAN,31.0,92.44,0.056
123,Derek Anderson,LAC,25.0,96.5,0.11
124,Derek Fisher,LAL,25.0,95.87,0.067
125,Derek Hood,CHH,23.0,119.11,-0.083
126,Derek Strong,ORL,32.0,105.74,0.09
127,Derrick Coleman,CHH,33.0,95.89,0.14
128,Derrick Dial,SAS,24.0,89.32,0.075
129,Derrick McKey,IND,33.0,91.54,0.081
130,Detlef Schrempf,POR,37.0,92.15,0.115
131,Devean George,LAL,22.0,98.2,0.067
132,Devin Gray,HOU,28.0,99.41,0.051
133,Dickey Simpkins,CHI,28.0,91.23,0.036
134,Dikembe Mutombo,ATL,34.0,92.72,0.148
135,Dion Glover,ATL,21.0,96.83,0.064
136,Dirk Nowitzki,DAL,22.0,97.19,0.112
137,Don MacLean,PHX,30.0,96.85,0.021
138,Don Reid,WAS,26.0,95.5,0.056
139,Donny Marshall,CLE,27.0,92.52,-0.066
140,Donyell Marshall,GSW,27.0,97.85,0.125
141,Doug Christie,TOR,30.0,96.28,0.106
142,Doug Overton,BOS,30.0,97.45,0.061
143,Doug West,VAN,33.0,93.88,0.049
144,Drew Barry,ATL,27.0,98.94,0.065
145,Duane Causwell,MIA,32.0,93.88,0.07
146,Earl Boykins,CLE,24.0,92.97,0.139
147,Eddie Jones,CHH,28.0,95.97,0.135
148,Eddie Robinson,CHH,24.0,97.17,0.112
149,Elden Campbell,CHH,31.0,95.29,0.093
150,Eldridge Recasner,CHH,32.0,102.86,0.117
151,Elliot Perry,NJN,31.0,93.86,0.106
152,Elton Brand,CHI,21.0,91.5,0.142
153,Emanual Davis,SEA,31.0,96.6,0.074
154,Eric Montross,DET,28.0,99.0,-0.027
155,Eric Murdock,LAC,32.0,97.09,0.082
156,Eric Piatkowski,LAC,29.0,97.2,0.074
157,Eric Snow,PHI,27.0,95.05,0.101
158,Eric Williams,BOS,27.0,97.25,0.065
159,Erick Dampier,GSW,24.0,97.85,0.049
160,Erick Strickland,DAL,26.0,98.73,0.104
161,Ervin Johnson,MIL,32.0,96.22,0.072
162,Etdrick Bohannon,LAC,27.0,96.09,0.041
163,Evan Eschmeyer,NJN,25.0,95.92,0.052
164,Felipe Lopez,VAN,25.0,93.26,0.058
165,Felton Spencer,SAS,32.0,94.25,0.06
166,Fred Hoiberg,CHI,27.0,92.32,0.112
167,Fred Vinson,SEA,29.0,99.75,-0.02
168,Gary Grant,POR,35.0,92.53,0.073
169,Gary Payton,SEA,31.0,95.84,0.166
170,Gary Trent,DAL,25.0,95.32,0.082
171,George Lynch,PHI,29.0,94.84,0.098
172,George McCloud,DEN,33.0,96.9,0.09
173,Gerard King,WAS,27.0,94.73,0.093
174,Gheorghe Muresan,NJN,29.0,97.29,0.053
175,Glen Rice,LAL,33.0,95.87,0.111
176,Glenn Robinson,MIL,27.0,96.46,0.114
177,Grant Hill,DET,27.0,98.68,0.17
178,Grant Long,VAN,34.0,92.65,0.083
179,Greg Anthony,POR,32.0,90.8,0.096
180,Greg Buckner,DAL,23.0,94.69,0.065
181,Greg Foster,SEA,31.0,94.79,0.038
182,Greg Ostertag,UTA,27.0,90.6,0.093
183,Hakeem Olajuwon,HOU,37.0,96.94,0.116
184,Harold Jamison,MIA,23.0,91.29,-0.07
185,Haywoode Workman,TOR,34.0,97.98,0.067
186,Hersey Hawkins,CHI,33.0,91.48,0.083
187,Horace Grant,SEA,34.0,95.6,0.085
188,Howard Eisley,UTA,27.0,90.53,0.084
189,Hubert Davis,DAL,30.0,97.12,0.068
190,Ike Austin,WAS,30.0,95.63,0.075
191,Ira Bowman,PHI,27.0,91.61,0.112
192,Isaiah Rider,ATL,29.0,94.29,0.098
193,J.R. Reid,MIL,32.0,94.42,0.054
194,Jacque Vaughn,UTA,25.0,88.51,0.07
195,Jahidi White,WAS,24.0,94.54,0.096
196,Jalen Rose,IND,27.0,95.77,0.112
197,Jamal Mashburn,MIA,27.0,92.42,0.11
198,James Posey,DEN,23.0,97.78,0.08
199,Jamie Feick,NJN,25.0,94.67,0.093
200,Jaren Jackson,SAS,32.0,93.86,0.06
201,Jason Caffey,GSW,27.0,97.38,0.071
