,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,,,,90.91,0.071
1,A.C. Green,DAL,33.0,88.76,0.099
2,Aaron McKie,DET,24.0,86.56,0.097
3,Aaron Williams,VAN,25.0,86.64,0.116
4,Acie Earl,MIL,27.0,89.44,0.057
5,Adam Keefe,UTA,27.0,88.77,0.084
6,Adrian Caldwell,PHI,30.0,94.98,0.044
7,Alan Henderson,ATL,24.0,89.87,0.077
8,Aleksandar Djordjevic,POR,29.0,89.8,0.113
9,Allan Houston,NYK,26.0,89.63,0.081
10,Allen Iverson,PHI,22.0,97.09,0.108
11,Alonzo Mourning,MIA,27.0,87.66,0.161
12,Alton Lister,BOS,38.0,92.92,0.052
13,Amal McCaskill,ORL,23.0,87.56,0.054
14,Andrew DeClercq,GSW,24.0,90.26,0.065
15,Andrew Lang,MIL,31.0,88.43,0.069
16,Anfernee Hardaway,ORL,25.0,89.35,0.144
17,Anthony Goldwire,DEN,25.0,90.31,0.088
18,Anthony Mason,CHH,30.0,87.62,0.15
19,Anthony Miller,ATL,25.0,88.31,-0.043
20,Anthony Peeler,VAN,27.0,88.86,0.093
21,Antoine Carr,UTA,35.0,87.04,0.074
22,Antoine Walker,BOS,20.0,95.63,0.096
23,Antonio Davis,IND,28.0,87.86,0.105
24,Antonio Harvey,SEA,26.0,100.7,0.136
25,Antonio Lang,CLE,25.0,82.71,0.045
26,Antonio McDyess,DEN,22.0,92.41,0.098
27,Armen Gilliam,MIL,33.0,88.59,0.098
28,Arvydas Sabonis,POR,32.0,91.32,0.164
29,Ashraf Amaya,WAS,25.0,94.98,0.036
30,Avery Johnson,SAS,32.0,86.52,0.105
31,B.J. Armstrong,GSW,29.0,89.97,0.092
32,Ben Davis,PHX,24.0,100.09,0.023
33,Ben Wallace,WAS,22.0,90.11,0.02
34,Benoit Benjamin,TOR,32.0,97.59,0.052
35,Bill Wennington,CHI,34.0,89.38,0.062
36,Billy Owens,SAC,28.0,90.16,0.098
37,Bimbo Coles,GSW,29.0,89.43,0.062
38,Bison Dele,CHI,28.0,86.06,0.073
39,Blue Edwards,VAN,31.0,88.04,0.066
40,Bo Outlaw,LAC,26.0,89.89,0.111
41,Bob Sura,CLE,24.0,82.23,0.117
42,Bobby Hurley,SAC,26.0,93.63,0.074
43,Bobby Phills,CLE,27.0,81.89,0.099
44,Brad Lohaus,TOR,32.0,96.41,0.004
45,Brent Barry,LAC,25.0,92.31,0.1
46,Brent Price,HOU,28.0,91.28,0.08
47,Brent Scott,IND,26.0,96.18,0.007
48,Brett Szabo,BOS,29.0,97.59,0.044
49,Brian Evans,ORL,23.0,99.35,0.075
50,Brian Grant,SAC,25.0,92.56,0.09
51,Brian Shaw,ORL,31.0,88.07,0.071
52,Brooks Thompson,DEN,26.0,92.61,0.082
53,Bruce Bowen,MIA,26.0,87.27,0.091
54,Bryant Reeves,VAN,24.0,88.85,0.099
55,Bryant Stith,DEN,26.0,91.93,0.094
56,Bryon Russell,UTA,26.0,89.73,0.084
57,Buck Williams,NYK,37.0,87.62,0.101
58,Byron Scott,LAL,36.0,89.94,0.096
59,Calbert Cheaney,WAS,25.0,92.74,0.07
60,Carl Herrera,SAS,30.0,86.52,0.063
61,Carl Thomas,CLE,27.0,90.26,0.086
62,Carlos Rogers,TOR,26.0,92.55,0.107
63,Cedric Ceballos,PHX,27.0,92.64,0.104
64,Charles Barkley,HOU,34.0,91.56,0.171
65,Charles Jones,HOU,40.0,87.88,0.039
