,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,A.J. Price,CLE,28.0,92.17,0.089
1,Aaron Brooks,CHI,30.0,94.65,0.092
2,Aaron Gordon,ORL,19.0,96.63,0.074
3,Adreian Payne,MIN,24.0,94.41,0.047
4,Al Horford,ATL,29.0,95.85,0.145
5,Al Jefferson,CHA,30.0,95.12,0.142
6,Al-Farouq Aminu,DAL,24.0,97.48,0.091
7,Alan Anderson,BKN,32.0,95.68,0.071
8,Alec Burks,UTA,23.0,92.9,0.083
9,Alex Kirk,CLE,23.0,91.44,0.028
10,Alex Len,PHX,22.0,100.21,0.084
11,Alexey Shved,NYK,26.0,97.63,0.131
12,Alexis Ajinca,NOP,27.0,91.9,0.135
13,Allen Crabbe,POR,23.0,96.86,0.051
14,Alonzo Gee,POR,28.0,99.56,0.075
15,Amar'e Stoudemire,DAL,32.0,93.4,0.131
16,Amir Johnson,TOR,28.0,95.56,0.093
17,Anderson Varejao,CLE,32.0,94.01,0.112
18,Andre Dawkins,MIA,23.0,92.42,-0.041
19,Andre Drummond,DET,21.0,95.11,0.125
20,Andre Iguodala,GSW,31.0,99.91,0.09
21,Andre Miller,SAC,39.0,94.03,0.105
22,Andre Roberson,OKC,23.0,99.29,0.06
23,Andrea Bargnani,NYK,29.0,94.87,0.109
24,Andrei Kirilenko,BKN,34.0,97.2,0.03
25,Andrew Bogut,GSW,30.0,99.56,0.113
26,Andrew Nicholson,ORL,25.0,94.54,0.067
27,Andrew Wiggins,MIN,20.0,96.54,0.081
28,Anthony Bennett,MIN,22.0,98.56,0.079
29,Anthony Davis,NOP,22.0,94.27,0.192
30,Anthony Morrow,OKC,29.0,98.74,0.092
31,Anthony Tolliver,DET,30.0,96.31,0.069
32,Archie Goodwin,PHX,20.0,97.6,0.065
33,Arinze Onuaku,MIN,27.0,97.51,0.13
34,Aron Baynes,SAS,28.0,97.05,0.106
35,Arron Afflalo,POR,29.0,97.25,0.068
36,Austin Daye,ATL,27.0,98.56,0.066
37,Austin Rivers,LAC,22.0,95.38,0.064
38,Avery Bradley,BOS,24.0,99.12,0.071
39,Ben Gordon,ORL,32.0,95.26,0.073
40,Ben McLemore,SAC,22.0,98.17,0.065
41,Beno Udrih,MEM,32.0,94.28,0.112
42,Bernard James,DAL,30.0,97.31,0.092
43,Bismack Biyombo,CHA,22.0,94.05,0.095
44,Blake Griffin,LAC,26.0,97.12,0.146
45,Bojan Bogdanovic,BKN,26.0,94.97,0.073
46,Boris Diaw,SAS,33.0,95.53,0.095
47,Bradley Beal,WAS,22.0,96.2,0.092
48,Brandan Wright,PHX,27.0,96.74,0.128
49,Brandon Bass,BOS,30.0,97.87,0.11
50,Brandon Davies,PHI,23.0,99.49,0.05
51,Brandon Jennings,DET,25.0,97.2,0.127
52,Brandon Knight,PHX,23.0,98.59,0.129
53,Brandon Rush,GSW,29.0,102.77,0.005
54,Brendan Haywood,CLE,35.0,95.71,0.05
55,Brian Roberts,CHA,29.0,94.42,0.086
56,Brook Lopez,BKN,27.0,94.99,0.13
57,Bruno Caboclo,TOR,19.0,87.04,-0.042
58,Bryce Cotton,UTA,22.0,100.5,0.105
59,CJ McCollum,POR,23.0,96.53,0.079
60,CJ Miles,IND,28.0,97.26,0.091
61,CJ Watson,IND,31.0,97.27,0.113
62,CJ Wilcox,LAC,24.0,98.44,0.059
63,Cameron Bairstow,CHI,24.0,92.52,-0.019
64,Carl Landry,SAC,31.0,96.69,0.096
65,Carlos Boozer,LAL,33.0,97.23,0.115
66,Carmelo Anthony,NYK,31.0,92.82,0.14
67,Caron Butler,DET,35.0,94.02,0.065
68,Cartier Martin,DET,30.0,93.99,0.012
69,Chandler Parsons,DAL,26.0,97.78,0.105
70,Channing Frye,ORL,32.0,95.63,0.062
71,Charles Hayes,TOR,32.0,95.76,0.052
72,Charlie Villanueva,DAL,30.0,99.98,0.104
73,Chase Budinger,MIN,27.0,97.4,0.086
74,Chris Andersen,MIA,36.0,93.26,0.12
75,Chris Bosh,MIA,31.0,92.28,0.143
76,Chris Copeland,IND,31.0,95.33,0.048
77,Chris Douglas-Roberts,LAC,28.0,94.11,0.016
78,Chris Johnson,UTA,25.0,98.06,0.064
79,Chris Kaman,POR,33.0,95.35,0.124
80,Chris Paul,LAC,30.0,97.38,0.173
81,Cleanthony Early,NYK,24.0,95.61,0.058
82,Clint Capela,HOU,21.0,103.71,0.06
83,Cody Zeller,CHA,22.0,95.76,0.1
84,Cole Aldrich,NYK,26.0,93.87,0.133
85,Corey Brewer,HOU,29.0,101.81,0.088
86,Cory Jefferson,BKN,24.0,96.86,0.087
87,Cory Joseph,SAS,23.0,94.84,0.11
88,Courtney Lee,MEM,29.0,94.02,0.072
89,D.J. Augustin,OKC,27.0,96.17,0.1
90,Dahntay Jones,LAC,34.0,97.98,-0.011
91,Damian Lillard,POR,24.0,96.63,0.137
92,Damjan Rudez,IND,29.0,95.33,0.05
93,Danilo Gallinari,DEN,26.0,98.96,0.113
94,Danny Granger,PHX,32.0,90.7,0.05
95,Danny Green,SAS,28.0,95.94,0.104
96,Dante Cunningham,NOP,28.0,92.41,0.059
97,Dante Exum,UTA,19.0,91.07,0.037
98,Darius Miller,NOP,25.0,95.5,-0.083
99,Darius Morris,BKN,24.0,93.95,0.049
100,Darrell Arthur,DEN,27.0,99.3,0.067
101,Darren Collison,SAC,27.0,98.74,0.12
102,David Lee,GSW,32.0,99.98,0.121
103,David Stockton,SAC,24.0,109.63,0.071
104,David Wear,SAC,24.0,101.01,-0.031
105,David West,IND,34.0,96.09,0.121
106,DeAndre Jordan,LAC,26.0,96.75,0.132
107,DeJuan Blair,WAS,26.0,98.03,0.05
108,DeMar DeRozan,TOR,25.0,95.28,0.115
109,DeMarcus Cousins,SAC,24.0,98.43,0.18
110,DeMarre Carroll,ATL,28.0,96.95,0.099
111,Dennis Schroder,ATL,21.0,94.46,0.113
112,Deron Williams,BKN,31.0,95.17,0.106
113,Derrick Favors,UTA,23.0,92.32,0.138
114,Derrick Rose,CHI,26.0,97.3,0.106
115,Derrick Williams,SAC,24.0,98.86,0.082
116,Devin Harris,DAL,32.0,97.75,0.092
117,Devyn Marble,ORL,22.0,102.78,0.035
118,Dewayne Dedmon,ORL,25.0,94.77,0.08
119,Dion Waiters,OKC,23.0,98.37,0.062
120,Dirk Nowitzki,DAL,37.0,96.26,0.133
121,Donald Sloan,IND,27.0,94.72,0.114
122,Donatas Motiejunas,HOU,24.0,98.03,0.097
123,Dorell Wright,POR,29.0,97.17,0.09
124,Doug McDermott,CHI,23.0,95.28,0.044
125,Draymond Green,GSW,25.0,101.43,0.112
126,Drew Gooden,WAS,33.0,94.73,0.086
127,Drew Gordon,PHI,24.0,104.06,0.031
128,Dwight Buycks,LAL,26.0,93.99,0.096
129,Dwight Howard,HOU,29.0,98.57,0.141
130,Dwight Powell,DAL,23.0,98.65,0.068
131,Dwyane Wade,MIA,33.0,93.72,0.141
132,E'Twaun Moore,CHI,26.0,95.21,0.06
133,Earl Barron,PHX,33.0,97.0,-0.002
134,Earl Clark,BKN,27.0,99.61,0.054
135,Ed Davis,LAL,26.0,96.11,0.121
136,Ekpe Udoh,LAC,28.0,95.98,0.07
137,Elfrid Payton,ORL,21.0,96.27,0.09
138,Elijah Millsap,UTA,27.0,93.64,0.049
139,Elliot Williams,PHI,26.0,95.24,0.049
140,Elton Brand,ATL,36.0,95.12,0.059
141,Enes Kanter,OKC,23.0,95.67,0.124
142,Eric Bledsoe,PHX,25.0,98.89,0.13
143,Eric Gordon,NOP,26.0,93.43,0.076
144,Eric Moreland,SAC,23.0,96.08,0.154
145,Erick Green,DEN,24.0,97.73,0.063
146,Ersan Ilyasova,MIL,28.0,96.83,0.106
147,Evan Fournier,ORL,22.0,95.42,0.076
148,Evan Turner,BOS,26.0,98.31,0.11
149,Festus Ezeli,GSW,25.0,99.47,0.091
150,Francisco Garcia,HOU,33.0,95.26,0.015
151,Furkan Aldemir,PHI,23.0,96.04,0.066
152,Gal Mekel,DAL,27.0,93.68,0.014
153,Garrett Temple,WAS,29.0,96.87,0.069
154,Gary Harris,DEN,20.0,100.4,0.017
155,Gary Neal,MIN,30.0,95.83,0.081
156,George Hill,IND,29.0,94.84,0.151
157,Gerald Green,PHX,29.0,98.95,0.093
158,Gerald Henderson,CHA,27.0,95.35,0.094
159,Gerald Wallace,BOS,32.0,96.63,0.045
160,Giannis Antetokounmpo,MIL,20.0,96.05,0.111
161,Gigi Datome,BOS,27.0,95.81,0.12
162,Glen Davis,LAC,29.0,96.23,0.066
163,Glen Rice Jr.,WAS,24.0,94.33,-0.112
164,Glenn Robinson,PHI,21.0,98.65,0.053
165,Goran Dragic,MIA,29.0,98.47,0.111
166,Gordon Hayward,UTA,25.0,93.18,0.139
167,Gorgui Dieng,MIN,25.0,96.63,0.112
168,Grant Jerrett,UTA,21.0,98.52,-0.018
169,Greg Monroe,DET,25.0,94.73,0.15
170,Greg Smith,DAL,24.0,95.51,0.058
171,Greg Stiemsma,TOR,29.0,92.25,0.014
172,Greivis Vasquez,TOR,28.0,94.73,0.086
173,Harrison Barnes,GSW,23.0,100.71,0.089
174,Hassan Whiteside,MIA,26.0,94.16,0.173
175,Hedo Turkoglu,LAC,36.0,95.84,0.074
176,Henry Sims,PHI,25.0,98.43,0.111
177,Henry Walker,MIA,27.0,95.71,0.049
178,Hollis Thompson,PHI,24.0,99.23,0.07
179,Ian Clark,DEN,24.0,94.18,0.042
180,Ian Mahinmi,IND,28.0,95.09,0.073
181,Iman Shumpert,CLE,25.0,93.53,0.077
182,Isaiah Canaan,PHI,24.0,97.45,0.085
183,Isaiah Thomas,BOS,26.0,98.88,0.129
184,Ish Smith,PHI,26.0,99.04,0.103
185,J.R. Smith,CLE,29.0,94.9,0.083
186,JJ Hickson,DEN,26.0,98.22,0.1
187,JJ Redick,LAC,31.0,97.6,0.096
188,JaKarr Sampson,PHI,22.0,100.36,0.058
189,JaMychal Green,MEM,25.0,98.69,0.092
190,JaVale McGee,DEN,27.0,102.39,0.086
191,Jabari Brown,LAL,22.0,96.52,0.064
192,Jabari Parker,MIL,20.0,98.54,0.1
193,Jack Cooley,UTA,24.0,100.4,0.018
194,Jae Crowder,BOS,24.0,97.89,0.092
195,Jamaal Franklin,DEN,23.0,110.44,0.0
196,Jamal Crawford,LAC,35.0,96.83,0.103
197,Jameer Nelson,DEN,33.0,96.56,0.081
198,James Ennis,MIA,24.0,92.47,0.081
199,James Harden,HOU,25.0,99.09,0.184
200,James Johnson,TOR,28.0,95.49,0.115
201,James Jones,CLE,34.0,94.76,0.056
202,James Michael McAdoo,GSW,22.0,101.61,0.083
203,James Young,BOS,19.0,98.41,0.05
204,Jannero Pargo,CHA,35.0,93.55,0.094
205,Jared Cunningham,LAC,24.0,99.59,0.033
206,Jared Dudley,MIL,29.0,95.75,0.091
207,Jared Sullinger,BOS,23.0,97.89,0.12
208,Jarnell Stokes,MEM,21.0,98.32,0.095
209,Jarrett Jack,BKN,31.0,95.32,0.11
210,Jason Maxiell,CHA,32.0,95.63,0.058
211,Jason Richardson,PHI,34.0,96.91,0.092
212,Jason Smith,NYK,29.0,93.91,0.076
213,Jason Terry,HOU,37.0,100.01,0.077
214,Jason Thompson,SAC,28.0,97.07,0.072
215,Jeff Adrien,HOU,29.0,98.35,0.098
216,Jeff Ayres,SAS,28.0,95.0,0.096
217,Jeff Green,MEM,28.0,96.25,0.095
218,Jeff Taylor,CHA,26.0,93.77,0.049
219,Jeff Teague,ATL,27.0,97.48,0.133
220,Jeff Withey,NOP,25.0,94.42,0.098
221,Jerami Grant,PHI,21.0,98.86,0.047
222,Jerel McNeal,PHX,28.0,93.51,-0.006
223,Jeremy Evans,UTA,27.0,93.43,0.14
224,Jeremy Lamb,OKC,23.0,94.41,0.119
225,Jeremy Lin,LAL,26.0,97.38,0.098
226,Jerome Jordan,BKN,28.0,96.06,0.092
227,Jerrelle Benimon,DEN,23.0,79.31,0.3
228,Jerryd Bayless,MIL,26.0,95.26,0.09
229,Jimmer Fredette,NOP,26.0,95.73,0.062
230,Jimmy Butler,CHI,25.0,95.21,0.138
231,Joakim Noah,CHI,30.0,95.43,0.111
232,Jodie Meeks,DET,27.0,95.65,0.087
233,Joe Harris,CLE,23.0,95.37,0.022
234,Joe Ingles,UTA,27.0,92.32,0.072
235,Joe Johnson,BKN,34.0,94.12,0.101
236,Joel Anthony,DET,32.0,94.1,0.079
237,Joel Freeland,POR,28.0,96.35,0.082
238,Joey Dorsey,HOU,31.0,99.84,0.058
239,Joffrey Lauvergne,DEN,23.0,98.44,0.063
240,John Henson,MIL,24.0,95.49,0.112
241,John Jenkins,ATL,24.0,98.02,0.117
242,John Lucas III,DET,32.0,92.82,0.092
243,John Salmons,NOP,35.0,92.69,0.024
244,John Wall,WAS,24.0,97.64,0.151
245,Johnny O'Bryant,MIL,22.0,95.29,0.012
246,Jon Leuer,MEM,26.0,94.9,0.093
247,Jonas Jerebko,BOS,28.0,95.03,0.1
248,Jonas Valanciunas,TOR,23.0,94.97,0.134
249,Jordan Adams,MEM,20.0,95.02,0.072
250,Jordan Clarkson,LAL,23.0,94.29,0.109
251,Jordan Farmar,LAC,28.0,96.49,0.064
252,Jordan Hamilton,LAC,24.0,98.35,0.053
253,Jordan Hill,LAL,27.0,96.96,0.108
254,Jorge Gutierrez,MIL,26.0,96.65,0.079
255,Jose Calderon,NYK,33.0,93.94,0.082
256,Jose Juan Barea,DAL,31.0,95.8,0.102
257,Josh McRoberts,MIA,28.0,90.65,0.074
258,Josh Smith,HOU,29.0,99.28,0.097
259,Jrue Holiday,NOP,25.0,95.51,0.111
260,Julius Randle,LAL,20.0,89.58,-0.242
261,Justin Hamilton,MIN,25.0,93.57,0.084
262,Justin Holiday,GSW,26.0,100.11,0.079
263,Jusuf Nurkic,DEN,20.0,99.17,0.088
264,KJ McDaniels,HOU,22.0,98.28,0.067
265,Kalin Lucas,MEM,26.0,96.87,-0.05
266,Kawhi Leonard,SAS,24.0,96.2,0.148
267,Kelly Olynyk,BOS,24.0,98.92,0.094
268,Kemba Walker,CHA,25.0,95.06,0.121
269,Kendall Marshall,MIL,23.0,93.4,0.093
270,Kendrick Perkins,CLE,30.0,96.4,0.051
271,Kenneth Faried,DEN,25.0,98.21,0.116
272,Kent Bazemore,ATL,25.0,96.34,0.068
273,Kentavious Caldwell-Pope,DET,22.0,95.94,0.065
274,Kenyon Martin,MIL,37.0,97.82,0.056
275,Kevin Durant,OKC,26.0,100.63,0.194
276,Kevin Garnett,MIN,39.0,93.81,0.126
277,Kevin Love,CLE,26.0,94.75,0.135
278,Kevin Martin,MIN,32.0,97.31,0.105
279,Kevin Seraphin,WAS,25.0,92.82,0.086
280,Khris Middleton,MIL,23.0,96.29,0.116
281,Kirk Hinrich,CHI,34.0,95.83,0.041
282,Klay Thompson,GSW,25.0,101.29,0.126
283,Kobe Bryant,LAL,36.0,98.34,0.118
284,Kosta Koufos,MEM,26.0,93.86,0.111
285,Kostas Papanikolaou,HOU,24.0,98.48,0.056
286,Kris Humphries,WAS,30.0,95.18,0.119
287,Kyle Anderson,SAS,21.0,95.15,0.071
288,Kyle Korver,ATL,34.0,96.48,0.097
289,Kyle Lowry,TOR,29.0,96.5,0.126
290,Kyle O'Quinn,ORL,25.0,94.81,0.101
291,Kyle Singler,OKC,27.0,96.96,0.048
292,Kyrie Irving,CLE,23.0,95.27,0.128
293,LaMarcus Aldridge,POR,29.0,96.45,0.156
294,Lance Stephenson,CHA,24.0,95.67,0.077
295,Lance Thomas,NYK,27.0,94.23,0.052
296,Landry Fields,TOR,27.0,94.82,0.068
297,Langston Galloway,NYK,23.0,94.45,0.082
298,Larry Drew,PHI,25.0,94.81,0.052
299,Larry Sanders,MIL,26.0,98.55,0.084
300,Lavoy Allen,IND,26.0,94.82,0.107
301,LeBron James,CLE,30.0,94.91,0.171
302,Leandro Barbosa,GSW,32.0,99.65,0.096
303,Lester Hudson,LAC,30.0,94.35,0.146
304,Lorenzo Brown,MIN,24.0,94.36,0.076
305,Lou Amundson,NYK,32.0,94.01,0.069
306,Lou Williams,TOR,28.0,96.38,0.117
307,Luc Mbah a Moute,PHI,28.0,96.68,0.081
308,Lucas Nogueira,TOR,22.0,99.33,0.036
309,Luis Scola,IND,35.0,96.69,0.13
310,Luke Babbitt,NOP,26.0,95.64,0.072
311,Luke Ridnour,ORL,34.0,96.24,0.073
312,Luol Deng,MIA,30.0,93.52,0.103
313,Malcolm Lee,PHI,25.0,97.59,-0.1
314,Malcolm Thomas,PHI,26.0,102.31,0.071
315,Manu Ginobili,SAS,37.0,97.01,0.113
316,Marc Gasol,MEM,30.0,94.06,0.151
317,Marcin Gortat,WAS,31.0,97.03,0.133
318,Marco Belinelli,SAS,29.0,95.62,0.082
319,Marcus Morris,PHX,25.0,98.6,0.091
320,Marcus Smart,BOS,21.0,97.86,0.066
321,Marcus Thornton,PHX,28.0,97.97,0.102
322,Mario Chalmers,MIA,29.0,93.86,0.076
323,Markel Brown,BKN,23.0,96.29,0.055
324,Markieff Morris,PHX,25.0,98.59,0.107
325,Marreese Speights,GSW,27.0,102.11,0.117
326,Martell Webster,WAS,28.0,97.33,0.037
327,Marvin Williams,CHA,29.0,95.86,0.088
328,Mason Plumlee,BKN,25.0,93.73,0.104
329,Matt Barnes,LAC,35.0,97.6,0.064
330,Matt Bonner,SAS,35.0,94.81,0.063
331,Matthew Dellavedova,CLE,24.0,93.1,0.052
332,Maurice Harkless,ORL,22.0,96.95,0.046
333,Meyers Leonard,POR,23.0,95.83,0.116
334,Michael Beasley,MIA,26.0,96.05,0.078
335,Michael Carter-Williams,MIL,23.0,97.16,0.115
336,Michael Kidd-Gilchrist,CHA,21.0,95.65,0.11
337,Mike Conley,MEM,27.0,94.07,0.124
338,Mike Dunleavy,CHI,34.0,94.59,0.081
339,Mike Miller,CLE,35.0,94.68,0.037
340,Mike Muscala,ATL,23.0,95.49,0.109
341,Mike Scott,ATL,26.0,94.45,0.104
342,Miles Plumlee,MIL,26.0,96.57,0.084
343,Miroslav Raduljica,MIN,27.0,97.18,-0.024
344,Mirza Teletovic,BKN,29.0,95.32,0.088
345,Mitch McGary,OKC,23.0,100.22,0.104
346,Mo Williams,CHA,32.0,96.89,0.105
347,Monta Ellis,DAL,29.0,98.54,0.097
348,Nate Robinson,DEN,31.0,96.52,0.063
349,Nate Wolters,MIL,24.0,93.61,0.04
350,Nazr Mohammed,CHI,37.0,93.22,0.064
351,Nene,WAS,32.0,96.12,0.097
352,Nerlens Noel,PHI,21.0,97.44,0.108
353,Nick Calathes,MEM,26.0,94.68,0.094
354,Nick Collison,OKC,34.0,96.76,0.07
