,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT
0,920,A.C. Green,1610612748,MIA,37.0,81.0,225,3.3,0.141,0.492
1,2062,A.J. Guyton,1610612741,CHI,23.0,73.0,180,-12.4,0.169,0.495
2,243,Aaron McKie,1610612755,PHI,28.0,77.0,209,6.8,0.19,0.549
3,1425,Aaron Williams,1610612751,NJN,29.0,81.0,225,-9.1,0.18,0.533
4,228,Adam Keefe,1610612744,GSW,31.0,81.0,230,-9.2,0.116,0.45
5,1502,Adonal Foyle,1610612744,GSW,26.0,82.0,250,-11.7,0.139,0.422
6,1559,Adrian Griffin,1610612738,BOS,26.0,77.0,215,-4.9,0.149,0.432
7,1733,Al Harrington,1610612754,IND,21.0,81.0,254,0.5,0.187,0.479
8,673,Alan Henderson,1610612737,ATL,28.0,81.0,235,-8.8,0.224,0.487
9,275,Allan Houston,1610612752,NYK,30.0,78.0,200,2.2,0.256,0.543
10,947,Allen Iverson,1610612755,PHI,26.0,72.0,165,5.7,0.354,0.518
11,297,Alonzo Mourning,1610612748,MIA,31.0,82.0,261,5.9,0.301,0.536
12,1541,Alvin Williams,1610612761,TOR,26.0,77.0,185,3.1,0.175,0.483
13,1889,Andre Miller,1610612739,CLE,25.0,74.0,200,-1.3,0.23,0.541
14,692,Andrew DeClercq,1610612753,ORL,28.0,82.0,255,7.4,0.137,0.57
15,1950,Andy Panko,1610612737,ATL,23.0,81.0,245,0.0,0.0,0.0
16,358,Anfernee Hardaway,1610612756,PHX,29.0,79.0,215,-3.1,0.173,0.477
17,1712,Antawn Jamison,1610612744,GSW,25.0,81.0,223,-9.3,0.279,0.499
18,1853,Anthony Carter,1610612748,MIA,26.0,73.0,190,2.6,0.19,0.439
19,924,Anthony Goldwire,1610612743,DEN,29.0,74.0,182,-7.0,0.219,0.469
20,1533,Anthony Johnson,1610612739,CLE,26.0,75.0,190,-10.8,0.176,0.39
21,193,Anthony Mason,1610612748,MIA,34.0,80.0,255,2.2,0.201,0.555
22,292,Anthony Miller,1610612755,PHI,29.0,81.0,255,-45.9,0.133,0.5
23,324,Anthony Peeler,1610612750,MIN,31.0,76.0,208,2.3,0.186,0.513
24,952,Antoine Walker,1610612738,BOS,24.0,81.0,245,-1.9,0.292,0.505
25,1498,Antonio Daniels,1610612759,SAS,26.0,76.0,205,6.6,0.175,0.567
26,213,Antonio Davis,1610612761,TOR,32.0,81.0,230,4.2,0.196,0.508
27,176,Antonio Harvey,1610612757,POR,30.0,83.0,250,-14.3,0.211,0.506
28,686,Antonio McDyess,1610612743,DEN,26.0,81.0,245,0.6,0.269,0.538
29,1609,Art Long,1610612758,SAC,28.0,81.0,240,-8.3,0.155,0.0
30,717,Arvydas Sabonis,1610612757,POR,36.0,87.0,292,8.5,0.241,0.527
31,1506,Austin Croshere,1610612754,IND,26.0,81.0,242,0.2,0.23,0.512
32,422,Avery Johnson,1610612759,SAS,36.0,71.0,180,8.1,0.144,0.475
