,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT
0,201166,Aaron Brooks,1610612745,HOU,24.0,72,161,4.2,0.231,0.521
1,201189,Aaron Gray,1610612741,CHI,24.0,84,270,-5.3,0.142,0.508
2,201151,Acie Law,1610612737,ATL,24.0,75,202,1.2,0.164,0.49
3,200747,Adam Morrison,1610612747,LAL,24.0,80,205,-7.4,0.177,0.448
4,1502,Adonal Foyle,1610612753,ORL,34.0,82,270,-3.7,0.12,0.623
5,1733,Al Harrington,1610612752,NYK,29.0,81,250,-1.9,0.256,0.547
6,201143,Al Horford,1610612737,ATL,23.0,82,245,0.9,0.168,0.565
7,2744,Al Jefferson,1610612750,MIN,24.0,82,265,-4.6,0.288,0.532
8,201154,Al Thornton,1610612746,LAC,25.0,80,220,-10.6,0.228,0.502
9,201169,Alando Tucker,1610612756,PHX,25.0,78,205,2.1,0.216,0.509
10,101165,Alex Acker,1610612746,LAC,26.0,77,185,1.8,0.203,0.448
11,201582,Alexis Ajinca,1610612766,CHA,21.0,84,220,2.6,0.25,0.43
12,947,Allen Iverson,1610612765,DET,34.0,72,180,-1.6,0.261,0.504
13,2405,Amar'e Stoudemire,1610612756,PHX,26.0,82,249,3.3,0.248,0.617
14,101161,Amir Johnson,1610612765,DET,22.0,81,210,5.6,0.111,0.608
15,2760,Anderson Varejao,1610612739,CLE,26.0,83,260,10.7,0.142,0.565
16,101154,Andray Blatche,1610612764,WAS,22.0,83,248,-6.7,0.221,0.508
17,2810,Andre Brown,1610612766,CHA,28.0,81,245,-7.9,0.141,0.254
18,2738,Andre Iguodala,1610612755,PHI,25.0,78,207,1.5,0.224,0.56
19,1889,Andre Miller,1610612755,PHI,33.0,74,200,1.1,0.218,0.548
20,200745,Andrea Bargnani,1610612761,TOR,23.0,84,250,-4.9,0.229,0.559
21,1905,Andrei Kirilenko,1610612762,UTA,28.0,81,225,7.0,0.203,0.549
22,2804,Andres Nocioni,1610612758,SAC,29.0,79,225,-0.3,0.201,0.555
23,101106,Andrew Bogut,1610612749,MIL,24.0,84,260,4.4,0.181,0.586
24,101115,Andrew Bynum,1610612747,LAL,21.0,84,285,7.6,0.21,0.598
25,2740,Andris Biedrins,1610612744,GSW,23.0,83,240,-4.6,0.17,0.585
26,1712,Antawn Jamison,1610612764,WAS,33.0,81,235,-9.0,0.258,0.549
27,1853,Anthony Carter,1610612743,DEN,34.0,74,195,2.9,0.141,0.49
28,1533,Anthony Johnson,1610612753,ORL,34.0,75,195,4.0,0.157,0.505
29,201627,Anthony Morrow,1610612744,GSW,23.0,77,210,-1.7,0.177,0.588
30,1515,Anthony Parker,1610612761,TOR,34.0,78,215,-1.7,0.164,0.524
31,201576,Anthony Randolph,1610612744,GSW,19.0,82,210,-3.8,0.215,0.506
32,101194,Anthony Roberson,1610612741,CHI,26.0,74,180,-11.5,0.206,0.487
33,201229,Anthony Tolliver,1610612759,SAS,24.0,80,240,-0.6,0.172,0.375
34,101120,Antoine Wright,1610612742,DAL,25.0,79,215,3.2,0.156,0.501
35,1498,Antonio Daniels,1610612740,NOH,34.0,76,205,-11.7,0.164,0.536
36,686,Antonio McDyess,1610612765,DET,34.0,81,245,-2.9,0.157,0.529
37,201167,Arron Afflalo,1610612765,DET,23.0,77,215,0.1,0.143,0.548
38,1506,Austin Croshere,1610612759,SAS,34.0,82,240,-17.7,0.206,0.452
39,1884,Baron Davis,1610612746,LAC,30.0,75,215,-8.3,0.249,0.46
40,2732,Ben Gordon,1610612741,CHI,26.0,75,200,-1.1,0.248,0.573
41,1112,Ben Wallace,1610612739,CLE,34.0,81,240,17.9,0.077,0.45
42,2757,Beno Udrih,1610612758,SAC,26.0,75,205,-7.7,0.182,0.525
43,201336,Blake Ahearn,1610612759,SAS,25.0,74,190,19.4,0.183,0.581
44,201628,Bobby Brown,1610612750,MIN,24.0,74,175,-12.5,0.211,0.476
45,1517,Bobby Jackson,1610612758,SAC,36.0,73,185,-6.2,0.18,0.502
46,2250,Bobby Simmons,1610612751,NJN,29.0,78,230,-1.0,0.141,0.596
47,2564,Boris Diaw,1610612766,CHA,27.0,80,235,0.8,0.199,0.565
48,1802,Brad Miller,1610612741,CHI,33.0,84,261,-4.7,0.184,0.566
49,201148,Brandan Wright,1610612744,GSW,21.0,82,210,-3.5,0.193,0.57
50,101138,Brandon Bass,1610612742,DAL,24.0,80,250,3.3,0.201,0.571
51,200750,Brandon Roy,1610612757,POR,24.0,78,211,8.9,0.274,0.573
52,201575,Brandon Rush,1610612754,IND,23.0,78,210,-4.2,0.166,0.505
53,2217,Brendan Haywood,1610612764,WAS,29.0,84,263,-8.7,0.177,0.49
54,699,Brent Barry,1610612745,HOU,37.0,79,210,1.1,0.123,0.575
55,1510,Brevin Knight,1610612762,UTA,33.0,70,166,3.6,0.134,0.414
56,2073,Brian Cardinal,1610612750,MIN,32.0,80,240,-1.6,0.117,0.515
57,2567,Brian Cook,1610612745,HOU,28.0,81,250,-11.2,0.247,0.47
58,2243,Brian Scalabrine,1610612738,BOS,31.0,81,235,11.0,0.121,0.558
59,1730,Brian Skinner,1610612746,LAC,33.0,81,255,-16.5,0.146,0.474
60,201572,Brook Lopez,1610612751,NJN,21.0,84,260,-2.6,0.201,0.568
61,1477,Bruce Bowen,1610612759,SAS,38.0,79,200,0.4,0.072,0.539
62,101139,CJ Miles,1610612762,UTA,22.0,78,227,0.4,0.183,0.546
63,201228,CJ Watson,1610612744,GSW,25.0,74,175,-2.1,0.168,0.564
64,1916,Calvin Booth,1610612758,SAC,33.0,83,230,-23.8,0.116,0.592
65,201171,Carl Landry,1610612745,HOU,25.0,81,248,0.5,0.18,0.634
66,2430,Carlos Boozer,1610612762,UTA,27.0,81,266,-2.2,0.242,0.523
67,2546,Carmelo Anthony,1610612743,DEN,25.0,80,230,7.1,0.316,0.532
68,2406,Caron Butler,1610612764,WAS,29.0,79,228,-9.0,0.259,0.552
69,201858,Cartier Martin,1610612766,CHA,24.0,79,220,6.5,0.172,0.489
70,200759,Cedric Simmons,1610612758,SAC,23.0,81,235,-15.0,0.181,0.453
71,101112,Channing Frye,1610612757,POR,26.0,83,245,-7.5,0.197,0.465
72,101236,Charles Hayes,1610612745,HOU,26.0,78,238,-1.4,0.08,0.375
73,2294,Charlie Bell,1610612749,MIL,30.0,75,200,-2.9,0.16,0.525
74,101111,Charlie Villanueva,1610612749,MIL,24.0,83,232,-1.4,0.284,0.529
75,1497,Chauncey Billups,1610612743,DEN,32.0,75,202,5.2,0.22,0.592
76,200798,Cheikh Samb,1610612752,NYK,24.0,85,245,0.6,0.209,0.214
77,2365,Chris Andersen,1610612743,DEN,30.0,82,228,4.2,0.131,0.608
78,2547,Chris Bosh,1610612761,TOR,25.0,82,230,-1.0,0.27,0.569
79,201604,Chris Douglas-Roberts,1610612751,NJN,22.0,79,200,3.7,0.191,0.531
80,2768,Chris Duhon,1610612752,NYK,26.0,73,185,-4.0,0.149,0.569
81,2549,Chris Kaman,1610612746,LAC,27.0,84,265,-9.0,0.209,0.552
82,2036,Chris Mihm,1610612747,LAL,29.0,84,265,-17.2,0.219,0.418
83,101108,Chris Paul,1610612740,NOH,24.0,72,175,6.5,0.273,0.599
84,200809,Chris Quinn,1610612748,MIA,25.0,74,175,-1.3,0.174,0.539
85,2404,Chris Wilcox,1610612752,NYK,26.0,82,235,-8.5,0.214,0.518
86,1088,Chucky Atkins,1610612760,OKC,34.0,71,185,-6.9,0.156,0.408
87,201147,Corey Brewer,1610612750,MIN,23.0,81,188,0.8,0.163,0.473
88,1894,Corey Maggette,1610612744,GSW,29.0,78,225,-3.9,0.253,0.582
89,201584,Courtney Lee,1610612753,ORL,23.0,77,200,8.2,0.156,0.556
90,201235,Courtney Sims,1610612752,NYK,25.0,83,245,6.0,0.231,0.5
91,200783,Craig Smith,1610612750,MIN,25.0,79,250,-6.6,0.231,0.599
92,1749,Cuttino Mobley,1610612746,LAC,33.0,76,215,-9.0,0.212,0.491
93,201571,D.J. Augustin,1610612766,CHA,21.0,72,180,-1.3,0.208,0.587
94,2788,DJ Mbenga,1610612747,LAL,28.0,84,255,0.4,0.18,0.504
95,201591,DJ White,1610612760,OKC,22.0,81,251,-0.2,0.204,0.556
96,201161,Daequan Cook,1610612748,MIA,22.0,77,210,-0.3,0.182,0.512
97,2563,Dahntay Jones,1610612743,DEN,28.0,78,210,-1.0,0.151,0.533
98,2863,Damien Wilkins,1610612760,OKC,29.0,78,225,-11.7,0.187,0.467
99,1800,Damon Jones,1610612749,MIL,32.0,75,195,1.7,0.17,0.485
100,2429,Dan Gadzuric,1610612749,MIL,31.0,83,245,-2.5,0.151,0.495
101,200789,Daniel Gibson,1610612739,CLE,23.0,74,200,7.0,0.165,0.519
102,201568,Danilo Gallinari,1610612752,NYK,20.0,82,225,4.9,0.161,0.621
103,101122,Danny Granger,1610612754,IND,26.0,80,228,1.2,0.294,0.584
104,2032,Darius Miles,1610612763,MEM,27.0,81,235,-13.2,0.211,0.533
105,2443,Darius Songaila,1610612764,WAS,31.0,81,248,-5.4,0.172,0.57
106,2545,Darko Milicic,1610612763,MEM,24.0,84,275,-4.0,0.162,0.533
107,201616,Darnell Jackson,1610612739,CLE,23.0,81,253,-7.5,0.128,0.483
108,201589,Darrell Arthur,1610612763,MEM,21.0,81,225,-7.3,0.163,0.456
109,101135,David Lee,1610612752,NYK,26.0,81,240,-3.3,0.192,0.59
110,2561,David West,1610612740,NOH,28.0,81,240,4.1,0.263,0.54
111,201599,DeAndre Jordan,1610612746,LAC,20.0,83,250,-15.9,0.14,0.585
112,201634,DeMarcus Nelson,1610612744,GSW,23.0,76,200,-13.8,0.178,0.44
113,2205,DeSagana Diop,1610612766,CHA,27.0,84,280,-7.8,0.108,0.425
114,2052,DeShawn Stevenson,1610612764,WAS,28.0,77,218,-11.0,0.148,0.41
115,200793,Dee Brown,1610612756,PHX,24.0,72,185,-5.9,0.118,0.449
116,2753,Delonte West,1610612739,CLE,25.0,75,180,15.3,0.168,0.559
117,201193,Demetris Nichols,1610612752,NYK,24.0,80,216,35.6,0.3,0.354
118,965,Derek Fisher,1610612747,LAL,34.0,73,210,10.7,0.148,0.546
119,101114,Deron Williams,1610612762,UTA,25.0,75,207,3.0,0.247,0.573
120,201565,Derrick Rose,1610612741,CHI,20.0,75,190,-2.5,0.225,0.516
121,2824,Desmon Farmer,1610612759,SAS,27.0,77,220,5.9,0.173,0.437
122,2046,Desmond Mason,1610612760,OKC,31.0,77,222,-4.0,0.158,0.456
123,1904,Devean George,1610612742,DAL,31.0,80,235,-4.1,0.111,0.485
124,2484,Devin Brown,1610612740,NOH,30.0,77,210,-0.1,0.228,0.459
125,2734,Devin Harris,1610612751,NJN,26.0,75,185,-2.0,0.279,0.563
126,87,Dikembe Mutombo,1610612745,HOU,43.0,86,260,1.8,0.111,0.472
127,1717,Dirk Nowitzki,1610612742,DAL,31.0,84,245,4.1,0.302,0.564
128,201187,Dominic McGuire,1610612764,WAS,23.0,81,220,-9.4,0.101,0.483
129,201590,Donte Greene,1610612758,SAC,21.0,83,226,-11.9,0.176,0.416
130,200971,Dontell Jefferson,1610612766,CHA,25.0,77,195,-5.1,0.186,0.559
131,923,Donyell Marshall,1610612755,PHI,36.0,81,245,11.2,0.196,0.621
132,2748,Dorell Wright,1610612748,MIA,23.0,81,210,-14.6,0.194,0.398
133,2400,Drew Gooden,1610612759,SAS,27.0,82,250,-4.6,0.235,0.526
134,101204,Dwayne Jones,1610612766,CHA,26.0,82,251,6.6,0.124,0.622
135,2730,Dwight Howard,1610612753,ORL,23.0,83,265,10.6,0.26,0.6
136,2548,Dwyane Wade,1610612748,MIA,27.0,76,216,3.6,0.356,0.574
137,2248,Earl Watson,1610612760,OKC,30.0,73,185,-8.3,0.163,0.448
138,2109,Eddie Gill,1610612749,MIL,30.0,72,190,-21.1,0.131,0.778
139,2067,Eddie House,1610612738,BOS,31.0,73,175,6.1,0.199,0.592
140,2201,Eddy Curry,1610612752,NYK,26.0,83,285,-54.0,0.189,0.753
141,2059,Eduardo Najera,1610612751,NJN,32.0,80,235,-15.0,0.152,0.472
142,1882,Elton Brand,1610612755,PHI,30.0,81,254,-1.3,0.233,0.484
143,2731,Emeka Okafor,1610612766,CHA,26.0,82,255,-0.2,0.19,0.581
144,201569,Eric Gordon,1610612746,LAC,20.0,75,222,-9.0,0.208,0.593
145,956,Erick Dampier,1610612742,DAL,33.0,83,265,2.9,0.105,0.664
146,2041,Etan Thomas,1610612764,WAS,31.0,82,260,-21.2,0.144,0.525
147,101177,Fabricio Oberto,1610612759,SAS,34.0,82,245,-1.1,0.113,0.595
148,1922,Francisco Elson,1610612749,MIL,33.0,84,235,-3.7,0.107,0.537
149,101128,Francisco Garcia,1610612758,SAC,27.0,79,195,-11.0,0.193,0.554
150,2410,Fred Jones,1610612746,LAC,30.0,74,225,-8.6,0.129,0.536
151,201172,Gabe Pruitt,1610612738,BOS,23.0,76,170,0.8,0.163,0.422
152,201588,George Hill,1610612759,SAS,23.0,74,180,2.2,0.195,0.502
153,101123,Gerald Green,1610612742,DAL,23.0,80,200,-9.0,0.268,0.513
154,2222,Gerald Wallace,1610612766,CHA,26.0,79,220,0.5,0.204,0.585
155,2240,Gilbert Arenas,1610612764,WAS,27.0,76,215,-2.0,0.235,0.433
156,201175,Glen Davis,1610612738,BOS,23.0,81,289,4.1,0.174,0.502
