,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT
0,201166,Aaron Brooks,1610612745,HOU,23.0,72,161,-0.5,0.224,0.535
1,201189,Aaron Gray,1610612741,CHI,23.0,84,270,-1.0,0.221,0.529
2,1425,Aaron Williams,1610612746,LAC,36.0,81,235,-15.9,0.118,0.54
3,201151,Acie Law,1610612737,ATL,23.0,75,195,-7.2,0.164,0.455
4,1502,Adonal Foyle,1610612753,ORL,33.0,82,270,0.4,0.123,0.464
5,1559,Adrian Griffin,1610612760,SEA,33.0,77,230,0.4,0.146,0.406
6,1733,Al Harrington,1610612744,GSW,28.0,81,250,3.0,0.211,0.547
7,201143,Al Horford,1610612737,ATL,22.0,82,245,-2.4,0.162,0.539
8,2744,Al Jefferson,1610612750,MIN,23.0,82,265,-11.2,0.276,0.535
9,201154,Al Thornton,1610612746,LAC,24.0,80,220,-9.2,0.242,0.504
10,201169,Alando Tucker,1610612756,PHX,24.0,78,205,-0.2,0.25,0.446
11,200792,Alexander Johnson,1610612748,MIA,25.0,81,230,-12.3,0.181,0.554
12,947,Allen Iverson,1610612743,DEN,33.0,72,180,5.8,0.266,0.567
13,297,Alonzo Mourning,1610612748,MIA,38.0,82,261,-0.4,0.182,0.58
14,2405,Amar'e Stoudemire,1610612756,PHX,25.0,82,249,8.3,0.282,0.656
15,101161,Amir Johnson,1610612765,DET,21.0,81,210,14.1,0.136,0.584
16,2760,Anderson Varejao,1610612739,CLE,25.0,82,240,2.8,0.136,0.485
17,101154,Andray Blatche,1610612764,WAS,21.0,83,248,-5.8,0.199,0.512
18,2857,Andre Barrett,1610612746,LAC,26.0,70,173,-32.1,0.122,0.51
19,2810,Andre Brown,1610612763,MEM,27.0,81,245,-12.2,0.172,0.502
20,2738,Andre Iguodala,1610612755,PHI,24.0,78,207,-0.5,0.24,0.543
21,1889,Andre Miller,1610612755,PHI,32.0,74,200,-1.8,0.227,0.537
22,101261,Andre Owens,1610612754,IND,27.0,76,200,-0.4,0.163,0.504
23,200745,Andrea Bargnani,1610612761,TOR,22.0,84,250,3.7,0.226,0.495
24,1905,Andrei Kirilenko,1610612762,UTA,27.0,81,223,8.8,0.161,0.603
