,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,20,23,3,2000,MIL
GSW,20,27,4,2000,GSW
MIN,17,20,2,2000,MIN
TOR,20,26,3,2000,TOR
ATL,23,24,5,2000,ATL
BOS,18,26,3,2000,BOS
DET,19,21,4,2000,DET
NYK,22,29,3,2000,NYK
DEN,18,22,3,2000,DEN
SAC,18,30,3,2000,SAC
POR,18,27,2,2000,POR
NJN,19,21,2,2000,NJN
MIA,23,28,4,2000,MIA
SEA,21,27,5,2000,SEA
CHI,22,26,3,2000,CHI
SAS,18,23,4,2000,SAS
UTA,18,21,4,2000,UTA
VAN,16,21,2,2000,VAN
CHH,21,25,5,2000,CHH
CLE,22,23,2,2000,CLE
HOU,19,22,3,2000,HOU
WAS,22,24,5,2000,WAS
LAL,19,28,4,2000,LAL
PHI,22,29,5,2000,PHI
LAC,22,30,5,2000,LAC
DAL,14,23,2,2000,DAL
ORL,18,25,4,2000,ORL
PHX,23,29,3,2000,PHX
IND,21,31,4,2000,IND
