,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,21,28,4,2014,MIL
GSW,19,25,4,2014,GSW
MIN,19,27,2,2014,MIN
TOR,19,26,3,2014,TOR
ATL,21,30,3,2014,ATL
BOS,18,29,2,2014,BOS
DET,22,28,4,2014,DET
NYK,21,29,3,2014,NYK
DEN,21,29,4,2014,DEN
DAL,17,22,1,2014,DAL
BKN,19,28,3,2014,BKN
POR,19,30,4,2014,POR
ORL,17,26,3,2014,ORL
MIA,17,24,1,2014,MIA
CLE,20,27,3,2014,CLE
SAS,21,28,0,2014,SAS
CHA,22,32,2,2014,CHA
UTA,19,24,2,2014,UTA
CHI,20,24,2,2014,CHI
HOU,20,27,2,2014,HOU
WAS,19,24,4,2014,WAS
LAL,16,25,1,2014,LAL
PHI,21,29,2,2014,PHI
MEM,20,23,1,2014,MEM
LAC,20,29,3,2014,LAC
SAC,18,25,3,2014,SAC
OKC,18,28,0,2014,OKC
PHX,18,26,1,2014,PHX
IND,18,24,1,2014,IND
NOP,20,26,2,2014,NOP
