,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,20,24,1,2015,MIL
GSW,20,26,0,2015,GSW
MIN,14,22,2,2015,MIN
MIA,17,25,1,2015,MIA
ATL,19,27,2,2015,ATL
BOS,19,26,1,2015,BOS
DET,20,25,0,2015,DET
NYK,17,22,0,2015,NYK
DEN,16,21,2,2015,DEN
SAC,19,30,1,2015,SAC
BKN,15,22,1,2015,BKN
POR,19,25,2,2015,POR
ORL,19,27,1,2015,ORL
TOR,17,26,1,2015,TOR
CLE,19,24,1,2015,CLE
SAS,17,24,0,2015,SAS
CHA,16,24,0,2015,CHA
UTA,18,22,1,2015,UTA
CHI,17,24,1,2015,CHI
HOU,20,24,0,2015,HOU
WAS,20,26,1,2015,WAS
LAL,18,28,1,2015,LAL
PHI,19,28,2,2015,PHI
MEM,18,21,0,2015,MEM
LAC,20,26,1,2015,LAC
DAL,17,23,1,2015,DAL
OKC,16,25,1,2015,OKC
PHX,14,22,1,2015,PHX
IND,17,25,0,2015,IND
NOP,17,22,1,2015,NOP
